"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,74.08,Jürgen SCHULT,11 MAY 1960,GDR,1,Neubrandenburg (GDR),06 JUN 1986,1320
1,2,73.88,Virgilijus ALEKNA,13 FEB 1972,LTU,1,Kaunas (LTU),03 AUG 2000,1316
2,3,73.38,Gerd KANTER,06 MAY 1979,EST,1,Helsingborg (SWE),04 SEP 2006,1307
3,4,72.02,Gerd KANTER,06 MAY 1979,EST,1,"Salinas, CA (USA)",03 MAY 2007,1282
4,5,71.88,Gerd KANTER,06 MAY 1979,EST,1f1,"Salinas, CA (USA)",08 MAY 2008,1279
5,6,71.86,Yuriy DUMCHEV,05 AUG 1958,URS,1,Moskva (URS),29 MAY 1983,1279
6,6,71.86,Daniel STÅHL,27 AUG 1992,SWE,1f1,Bottnaryd (SWE),29 JUN 2019,1279
7,6,71.86,Kristjan ČEH,17 FEB 1999,SLO,1,"Linnastaadion, Jöhvi (EST)",16 JUN 2023,1279
8,9,71.84,Piotr MAŁACHOWSKI,07 JUN 1983,POL,1,"FBK Stadium, Hengelo (NED)",08 JUN 2013,1278
9,10,71.7,Róbert FAZEKAS,18 AUG 1975,HUN,1,Szombathely (HUN),14 JUL 2002,1276
10,11,71.64,Gerd KANTER,06 MAY 1979,EST,1,Kohila (EST),25 JUN 2009,1275
11,12,71.56,Virgilijus ALEKNA,13 FEB 1972,LTU,1,Kaunas (LTU),25 JUL 2007,1273
12,13,71.5,Lars RIEDEL,28 JUN 1967,GER,1,Wiesbaden (GER),03 MAY 1997,1272
13,14,71.47,Daniel STÅHL,27 AUG 1992,SWE,1,"Friidrottsarena, Uppsala (SWE)",21 JUN 2022,1272
14,15,71.45,Gerd KANTER,06 MAY 1979,EST,1f1,"Chula Vista, CA (USA)",29 APR 2010,1271
15,15,71.45,Daniel STÅHL,27 AUG 1992,SWE,2,"Linnastaadion, Jöhvi (EST)",16 JUN 2023,1271
16,17,71.4,Daniel STÅHL,27 AUG 1992,SWE,1,"Bottnaryds IP, Bottnaryd (SWE)",10 JUL 2021,1270
17,18,71.37,Daniel STÅHL,27 AUG 1992,SWE,1,"Sollentunavallen, Sollentuna (SWE)",10 AUG 2020,1270
18,19,71.32,Ben PLUCKNETT,13 APR 1954,USA,1,"Eugene, OR (USA)",04 JUN 1983,1269
19,20,71.29,Daniel STÅHL,27 AUG 1992,SWE,1,Sollentuna (SWE),29 JUN 2017,1268
20,21,71.27,Kristjan ČEH,17 FEB 1999,SLO,1,"Alexander Stadium, Birmingham (GBR)",21 MAY 2022,1268
21,22,71.26,John POWELL,25 JUN 1947,USA,1,San José (USA),09 JUN 1984,1268
22,22,71.26,Rickard BRUCH,02 JUL 1946,SWE,1,Malmö (SWE),15 NOV 1984,1268
23,22,71.26,Imrich BUGÁR,14 APR 1955,TCH,1,San José (USA),25 MAY 1985,1268
24,25,71.25,Róbert FAZEKAS,18 AUG 1975,HUN,1,"CM, Madrid (ESP)",21 SEP 2002,1268
25,25,71.25,Virgilijus ALEKNA,13 FEB 1972,LTU,1,Turnov (CZE),20 MAY 2008,1268
26,27,71.23,Kristjan ČEH,17 FEB 1999,SLO,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1267
27,28,71.18,Art BURNS,19 JUL 1954,USA,1,San José (USA),19 JUL 1983,1266
28,29,71.16,Wolfgang SCHMIDT,16 JAN 1954,GDR,1,Berlin (GER),09 AUG 1978,1266
29,30,71.14,Ben PLUCKNETT,13 APR 1954,USA,1,"Berkeley, CA (USA)",12 JUN 1983,1266
30,30,71.14,Anthony WASHINGTON,16 JAN 1966,USA,1,"Salinas, CA (USA)",22 MAY 1996,1266
