,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
0,1,36.84,Jamaica,,JAM,1,,"Olympic Stadium, London (GBR)",11 AUG 2012,1318
1,2,37.04,Jamaica,,JAM,1,,"DS, Daegu (KOR)",04 SEP 2011,1302
2,3,37.1,United States,,USA,1,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1297
3,4,37.27,Jamaica,,JAM,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1283
4,5,37.31,Jamaica,,JAM,1,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1280
5,6,37.36,Jamaica,,JAM,1,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1276
6,6,37.36,Jamaica,,JAM,1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1276
7,6,37.36,Great Britain & NI,,GBR,2,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1276
8,9,37.38,United States,,USA,1f1,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1275
9,10,37.39,Jamaica,,JAM,1h1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1274
10,11,37.4,United States,,USA,1,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1273
11,11,37.4,United States,,USA,1sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1273
12,13,37.41,Jamaica,,JAM,1h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1272
13,14,37.43,Japan,,JPN,3,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1271
14,15,37.45,United States,,USA,1,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1269
15,16,37.47,Great Britain & NI,,GBR,1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1268
16,17,37.48,United States,,USA,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1267
17,17,37.48,Canada,,CAN,1,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1267
18,19,37.5,United States,,USA,1,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1265
19,19,37.5,Italy,,ITA,1,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1265
20,21,37.52,United States,,USA,2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1264
21,22,37.55,United States,,USA,2,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1261
22,23,37.56,Great Britain & NI,,GBR,1h1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1260
23,24,37.58,United States Red,,USA,1,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1259
24,24,37.58,Jamaica,,JAM,1,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1259
25,26,37.59,United States,,USA,1,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1258
26,26,37.59,United States,,USA,1,,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1258
27,28,37.6,Japan,,JPN,2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1257
28,28,37.6,Great Britain & NI,,GBR,1,,"Olympic Stadium, London (GBR)",21 JUL 2019,1257
29,30,37.61,United States,,USA,1,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1256
30,30,37.61,Great Britain & NI,,GBR,1,,"Olympic Stadium, London (GBR)",22 JUL 2018,1256
31,32,37.62,Trinidad and Tobago,,TTO,2,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1256
32,33,37.64,Canada,,CAN,3,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1254
