"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:17:25.6h,Bernardo SEGURA,11 FEB 1970,MEX,1,Fana (NOR),07 MAY 1994,1247
1,2,1:18:03.3h,Lingtang BO,12 AUG 1970,CHN,1,Beijing (CHN),07 APR 1994,1233
2,3,1:18:35.2h,Stefan JOHANSSON,11 APR 1967,SWE,1,Fana (NOR),15 MAY 1992,1222
3,4,1:18:40.0h,Ernesto CANTO,18 OCT 1959,MEX,1,Fana (NOR),05 MAY 1984,1220
4,5,1:19:18.3h,Ronald WEIGEL,08 AUG 1959,GDR,1,Bergen (NOR),26 MAY 1990,1206
5,6,1:19:22.5h,Aleksey PERSHIN,23 SEP 1962,URS,1,Fana (NOR),07 MAY 1988,1204
6,7,1:19:24.1h,Walter ARENA,30 MAY 1964,ITA,2,Bergen (NOR),26 MAY 1990,1204
7,8,1:19:42.0h,Yohann DINIZ,01 JAN 1978,FRA,1,Bogny-sur-Meuse (FRA),25 MAY 2014,1197
8,9,1:19:48.1h,Nathan DEAKES,17 AUG 1977,AUS,1,Brisbane (AUS),04 SEP 2001,1195
9,10,1:19:52.0h,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Brisbane (AUS),04 SEP 2001,1194
10,11,1:19:54.0h,Pavol BLAŽEK,09 JUL 1958,TCH,3,Bergen (NOR),26 MAY 1990,1193
11,12,1:20:06.8h,Daniel BAUTISTA,04 AUG 1952,MEX,1,Montréal (CAN),17 OCT 1979,1188
12,13,1:20:11.72,Gaobo LI,23 JUL 1989,CHN,1,Wuhan (CHN),02 NOV 2007,1187
13,14,1:20:12.00,Nick A'HERN,06 JAN 1969,AUS,1,Fana (NOR),08 MAY 1993,1187
14,15,1:20:13.68,Caio BONFIM,19 MAR 1991,BRA,1,Bragança Paulista (BRA),25 APR 2021,1186
15,16,1:20:18.0h,Nick A'HERN,06 JAN 1969,AUS,4,Bergen (NOR),26 MAY 1990,1184
16,17,1:20:22.52,Gurmeet SINGH,01 JUL 1985,IND,1,Bhubaneshwar (IND),03 FEB 2012,1183
17,18,1:20:23.8h,Andrés CHOCHO,04 NOV 1983,ECU,1,Buenos Aires (ARG),05 JUN 2011,1182
18,19,1:20:24.00,Mingcai LI,22 AUG 1971,CHN,1,Jinan (CHN),15 MAR 1992,1182
19,19,1:20:24.00,Zewen LI,05 DEC 1973,CHN,1,Nanjing (CHN),24 OCT 1995,1182
20,21,1:20:31.00,Shaoguo CHEN,20 JAN 1972,CHN,2,Jinan (CHN),15 MAR 1992,1180
21,22,1:20:35.00,Xinyuan MAO,02 JUL 1971,CHN,3,Jinan (CHN),15 MAR 1992,1178
22,23,1:20:36.0h,Ernesto CANTO,18 OCT 1959,MEX,5,Bergen (NOR),26 MAY 1990,1178
23,24,1:20:36.6h,Gustavo Adolfo RESTREPO,27 JUL 1982,COL,2,Buenos Aires (ARG),05 JUN 2011,1178
24,25,1:20:36.7h,Erling ANDERSEN,22 SEP 1960,NOR,2,Fana (NOR),05 MAY 1984,1178
25,26,1:20:37.8h,Valdas KAZLAUSKAS,23 FEB 1958,URS,1,Moskva (URS),16 SEP 1983,1177
26,27,1:20:40.00,Yinhang WANG,15 FEB 1977,CHN,2,Nanjing (CHN),24 OCT 1995,1176
27,28,1:20:41.00,Yevgeniy MISYULYA,13 MAR 1964,URS,1,Fana (NOR),26 APR 1986,1176
28,29,1:20:47.00,Daniel BAUTISTA,04 AUG 1952,MEX,1,Formia (ITA),13 APR 1980,1174
29,29,1:20:47.0h,Roman MRÁZEK,21 JAN 1962,TCH,6,Bergen (NOR),26 MAY 1990,1174
30,31,1:20:47.2h,Yerko ARAYA,14 FEB 1986,CHI,3,Buenos Aires (ARG),05 JUN 2011,1174
31,32,1:20:49.13,Matheus CORREA,22 AUG 1999,BRA,2,Bragança Paulista (BRA),25 APR 2021,1173
32,33,1:20:50.00,Yongsheng ZHOU,15 OCT 1972,CHN,4,Jinan (CHN),15 MAR 1992,1173
33,33,1:20:50.00,Niantang TIAN,01 MAR 1972,CHN,5,Jinan (CHN),15 MAR 1992,1173
34,35,1:20:51.00,David SMITH,24 JUL 1955,AUS,1,Melbourne (AUS),11 FEB 1987,1173
35,36,1:20:53.6h,Luis Fernando LÓPEZ,03 JUN 1979,COL,1,Lima (PER),21 JUN 2009,1172
36,37,1:20:54.00,Ronald WEIGEL,08 AUG 1959,GDR,1,Berlin (GER),27 MAR 1983,1171
37,38,1:20:54.9h,Jefferson PÉREZ,01 JUL 1974,ECU,1,Cali (COL),05 JUL 2008,1171
38,39,1:20:55.00,Mingcai LI,22 AUG 1971,CHN,1,Fuxin (CHN),17 SEP 1994,1171
39,40,1:20:56.5h,Aigars FADEJEVS,27 DEC 1975,LAT,1,Södertälje (SWE),25 MAY 1996,1171
40,41,1:20:57.00,Erling ANDERSEN,22 SEP 1960,NOR,1,Trois-Rivieres (CAN),24 SEP 1980,1170
41,42,1:20:58.00,Pavol BLAŽEK,09 JUL 1958,TCH,1,Balassagyarmat (HUN),22 SEP 1990,1170
42,43,1:20:58.5h,Caio BONFIM,19 MAR 1991,BRA,4,Buenos Aires (ARG),05 JUN 2011,1170
43,44,1:20:58.6h,Domingo COLÍN,04 AUG 1952,MEX,1,Fana (NOR),26 MAY 1979,1170
