,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
0,1,14:22.22,Kenya,,KEN,1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1311
1,2,14:34.97,Nike/Bowerman Track Club B,,USA,1,,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020,1264
2,3,14:36.23,Kenya,,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1259
3,4,14:38.8h,Federal Republic of Germany,,FRG,1,,Köln (GER),17 AUG 1977,1250
4,5,14:40.4h,New Zealand,,NZL,1,,Oslo (NOR),22 AUG 1973,1244
5,6,14:40.80,United States,,USA,2,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1242
6,7,14:41.22,Ethiopia,,ETH,3,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1241
7,8,14:44.31,Mixed Team,,INT,2,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1229
8,9,14:44.69,Nike/Bowerman Track Club,,USA,2,,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020,1228
9,10,14:45.63,Soviet Union,,URS,1,,Leningrad (URS),04 AUG 1985,1225
10,11,14:46.04,Australia,,AUS,4,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1223
11,12,14:46.16,Larios,,ESP,1,,Madrid (ESP),05 SEP 1997,1223
12,13,14:46.3h,United States,,USA,,,Bourges (FRA),24 JUN 1979,1222
13,14,14:46.92,Australia,,AUS,3,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1220
14,15,14:47.57,United States,,USA,4,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1218
15,16,14:48.2h,France,,FRA,,,Bourges (FRA),23 JUN 1979,1215
16,17,14:48.23,United States,,USA,1,,Dublin (IRL),28 AUG 1987,1215
17,18,14:48.6h,Kenya,,KEN,1,,Nairobi (KEN),04 APR 2014,1214
18,19,14:49.0h,France,,FRA,1,,St-Maur (FRA),25 JUN 1965,1212
19,20,14:50.2h,New Zealand,,NZL,1,,Auckland (NZL),17 MAY 1975,1208
20,20,14:50.2h,Arkansas,,UND,1,,"Philadelphia, PA (USA)",27 APR 1985,1208
21,22,14:50.82,South Africa,,RSA,1,,Port Elizabeth (RSA),15 OCT 1984,1206
22,23,14:52.13,Arkansas Track Club,,INT,1,,"Philadelphia, PA (USA)",29 APR 2000,1201
23,24,14:52.37,Reebok Enclave,,USA,2,,"Philadelphia, PA (USA)",29 APR 2000,1200
24,25,14:52.52,France,,FRA,1,,Nice (FRA),18 SEP 2011,1200
25,26,14:52.81,Villanova,,INT,1,,"Philadelphia, PA (USA)",28 APR 1984,1199
26,26,14:52.81,Arkansas,,INT,1,,"Philadelphia, PA (USA)",30 APR 1994,1199
27,28,14:53.34,Georgetown,,USA,1,,"Philadelphia, PA (USA)",27 APR 1991,1197
28,29,14:53.43,Arkansas,,INT,2,,"Philadelphia, PA (USA)",28 APR 1984,1196
29,30,14:53.8h,France,,FRA,1,,Colombes (FRA),02 OCT 1971,1195
30,31,14:54.3h,Kenya,,KEN,1,,Nairobi (KEN),22 MAR 2014,1193
31,32,14:54.5h,Kenya B,,KEN,2,,Nairobi (KEN),04 APR 2014,1193
32,33,14:54.57,England,,GBR,5,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1192
33,34,14:54.77,Kenya,,KEN,1,,Nairobi (KEN),26 APR 2014,1192
34,35,14:54.84,Arkansas,,INT,1,,"Philadelphia, PA (USA)",28 APR 1990,1191
35,36,14:54.86,Kenya B,,KEN,2,,Nairobi (KEN),26 APR 2014,1191
36,37,14:55.31,Arkansas,,INT,1,,"Philadelphia, PA (USA)",26 APR 1986,1190
37,38,14:56.8h,British Milers Club,,GBR,3f1,,Bourges (FRA),23 JUN 1979,1184
38,39,14:57.10,Kenya B,,KEN,2,,Nairobi (KEN),22 MAR 2014,1183
39,40,14:57.87,Arkansas,,USA,1,,"Philadelphia, PA (USA)",30 APR 1988,1181
40,41,14:58.0h,German Democratic Republic,,GDR,1,,Potsdam (GDR),23 JUL 1963,1180
41,42,14:58.62,Georgetown,,USA,2,,"Philadelphia, PA (USA)",30 APR 1988,1178
42,43,14:58.72,Penn State,,USA,2,,"Philadelphia, PA (USA)",26 APR 1986,1178
43,44,14:59.06,Auburn,,USA,3,,"Philadelphia, PA (USA)",26 APR 1986,1176
