"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,44:04,Benard KIBET,25 NOV 1999,KEN,1,Kosa (JPN),04 DEC 2022,1257
1,2,44:24,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Tilburg (NED),04 SEP 2005,1238
2,3,44:45,Paul KOECH,25 JUN 1969,KEN,1,Amsterdam (NED),21 SEP 1997,1218
3,4,44:51,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),12 DEC 2004,1212
4,5,44:52,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),06 DEC 2009,1211
5,6,44:57,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,Bern (SUI),11 MAY 2019,1207
6,7,44:59,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),05 DEC 2010,1205
7,8,45:01,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),10 DEC 2006,1203
8,9,45:03,Rodgers KWEMOI,03 MAR 1998,KEN,1,Tilburg (NED),03 SEP 2017,1201
9,10,45:06,Evans CHEBET,10 NOV 1988,KEN,2,Tilburg (NED),03 SEP 2017,1198
10,11,45:08,Charles Waweru KAMATHI,18 MAY 1978,KEN,1,Amsterdam (NED),22 SEP 2002,1196
11,11,45:08,Keisuke MORITA,,JPN,81,Kosa (JPN),04 DEC 2022,1196
12,13,45:10,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,Kosa (JPN),11 DEC 2005,1194
13,14,45:12,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,Tilburg (NED),07 SEP 2014,1192
14,15,45:14,Charles Kipkurui LANGAT,28 APR 1996,KEN,1,Amsterdam (NED),17 SEP 2022,1191
15,16,45:15,Gideon NGATUNYI,10 OCT 1986,KEN,1f1,Kosa (JPN),07 DEC 2008,1190
16,16,45:15,Allan KIPRONO,15 FEB 1990,KEN,1,"Washington, DC (USA)",01 APR 2012,1190
17,16,45:15,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Amsterdam (NED),23 SEP 2018,1190
18,16,45:15,Nicholas Mboroto KOSIMBEI,01 OCT 1996,KEN,1,"Washington, DC (USA)",02 APR 2022,1190
19,20,45:16,Simon Njuguna WANGAI,11 DEC 1978,KEN,1,"Philadelphia, PA (USA)",05 MAY 2002,1189
20,20,45:16,Moses Ndiema MASAI,01 JUN 1986,KEN,1,Amsterdam (NED),20 SEP 2009,1189
21,20,45:16,Charles Waweru KAMATHI,18 MAY 1978,KEN,2,Amsterdam (NED),20 SEP 2009,1189
22,20,45:16,Joseph EBUYA,20 JUN 1987,KEN,1,Portsmouth (GBR),24 OCT 2010,1189
23,24,45:17,Geoffrey TOROITICH,2000,KEN,2,Amsterdam (NED),17 SEP 2022,1188
24,25,45:19,Josphat Machuka KIPRONO,12 DEC 1973,KEN,1,Amsterdam (NED),22 SEP 1996,1186
25,25,45:19,Jeremiah KAREMI,07 JUL 1994,KEN,1,Kosa (JPN),29 NOV 2015,1186
26,27,45:20,Julius MAINA,14 OCT 1977,KEN,1,Kosa (JPN),08 DEC 2002,1185
27,28,45:21,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,Tilburg (NED),06 SEP 2015,1184
28,29,45:23,John Thuo ITATI,26 DEC 1973,KEN,2,Kosa (JPN),06 DEC 2009,1182
29,29,45:23,Shadrack Kipchirchir KEMBOI,19 FEB 1986,KEN,1,Schortens (GER),21 AUG 2010,1182
30,29,45:23,Rodgers KWEMOI,03 MAR 1998,KEN,1,Tilburg (NED),02 SEP 2018,1182
31,32,45:24,Brahim LAHLAFI,15 APR 1968,MAR,1,Amsterdam (NED),20 SEP 1998,1181
32,32,45:24,John KARIUKI,10 NOV 1986,KEN,1,Kosa (JPN),09 DEC 2007,1181
33,34,45:25,Edwin KIPTOO,14 AUG 1993,KEN,1,Amsterdam (NED),18 SEP 2016,1180
34,35,45:26,John Nzau MWANGANGI,11 JAN 1990,KEN,1,Amsterdam (NED),19 SEP 2010,1179
35,36,45:27,Moses Ndiema MASAI,01 JUN 1986,KEN,2,Amsterdam (NED),19 SEP 2010,1178
36,37,45:29,Simon MAINA MUNYI,18 MAR 1978,KEN,1,Kosa (JPN),09 DEC 2001,1177
37,37,45:29,Getu FELEKE,28 NOV 1986,ETH,3,Amsterdam (NED),20 SEP 2009,1177
38,37,45:29,Stephen SAMBU,07 JUL 1988,KEN,1,"Washington, DC (USA)",06 APR 2014,1177
39,37,45:29,Daniel Lemashon SALEL,11 DEC 1990,KEN,2,"Washington, DC (USA)",06 APR 2014,1177
40,41,45:30,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),14 DEC 2003,1176
41,42,45:31,Abera KUMA,31 AUG 1990,ETH,2,Schortens (GER),21 AUG 2010,1175
42,43,45:33,Ayele ABSHERO,28 DEC 1990,ETH,3,Amsterdam (NED),19 SEP 2010,1173
43,43,45:33,Jonathan MAIYO,05 MAY 1988,KEN,4,Amsterdam (NED),19 SEP 2010,1173
44,43,45:33,Abraham KIPYATICH,10 MAY 1993,KEN,1,Kosa (JPN),01 DEC 2019,1173
45,46,45:36,Lelisa DESISA,14 JAN 1990,ETH,1,"Washington, DC (USA)",03 APR 2011,1170
46,47,45:37,Ondoro OSORO,03 DEC 1967,KEN,1,"St. Petersburg, FL (USA)",18 OCT 1997,1169
47,47,45:37,John Kiprono LANGAT,31 DEC 1996,KEN,2,Tilburg (NED),06 SEP 2015,1169
48,47,45:37,Yohanes GHEBREGERGIS,01 JAN 1989,ERI,3,Tilburg (NED),06 SEP 2015,1169
49,50,45:38,Ismael KIRUI,20 FEB 1975,KEN,1,"Washington, DC (USA)",09 APR 1995,1168
50,50,45:38,Stephen CHELIMO,09 AUG 1985,KEN,1,Schortens (GER),16 AUG 2008,1168
51,50,45:38,Pius Maiyo KIROP,08 JAN 1990,KEN,1,Tilburg (NED),02 SEP 2012,1168
52,50,45:38,Joshua CHEPTEGEI,12 SEP 1996,UGA,2,Amsterdam (NED),18 SEP 2016,1168
53,50,45:38,Birhanu LEGESE,11 SEP 1994,ETH,1,Amsterdam (NED),17 SEP 2017,1168
54,55,45:39,Abdallah Kibet MANDE,10 MAY 1995,UGA,3,Tilburg (NED),03 SEP 2017,1167
55,56,45:40,Masanari SHINTAKU,20 DEC 1957,JPN,1,Karatsu (JPN),19 FEB 1984,1166
56,56,45:40,John Nzau MWANGANGI,11 JAN 1990,KEN,2,Tilburg (NED),02 SEP 2012,1166
57,56,45:40,Gilbert Kipruto KIRWA,20 DEC 1985,KEN,4,Tilburg (NED),06 SEP 2015,1166
58,59,45:41,Micah Kemboi KOGO,30 JUN 1986,KEN,4,Amsterdam (NED),20 SEP 2009,1165
59,59,45:41,Allan KIPRONO,15 FEB 1990,KEN,2,"Washington, DC (USA)",03 APR 2011,1165
60,59,45:41,Patrick Makau MUSYOKI,02 MAR 1985,KEN,3,Tilburg (NED),02 SEP 2012,1165
61,59,45:41,Alfred NGENO,02 MAY 1997,KEN,2,Amsterdam (NED),23 SEP 2018,1165
62,63,45:42,Josphat Machuka KIPRONO,12 DEC 1973,KEN,2,Amsterdam (NED),20 SEP 1998,1164
63,64,45:43,Joseph KAMAU,17 JUN 1969,KEN,1,"Flint, MI (USA)",24 AUG 1996,1163
64,64,45:43,Stephen TUM,12 JUL 1986,KEN,1,"Washington, DC (USA)",11 APR 2010,1163
65,64,45:43,Wilfred KIMITEI,11 MAR 1985,KEN,2,"Washington, DC (USA)",02 APR 2022,1163
66,64,45:43,Robert GITITU,04 AUG 1983,KEN,1,"Philadelphia, PA (USA)",01 MAY 2022,1163
67,68,45:44,Benson Kipchumba BARUS,04 JUL 1980,KEN,2,"Philadelphia, PA (USA)",05 MAY 2002,1163
68,68,45:44,Lelisa DESISA,14 JAN 1990,ETH,2,"Washington, DC (USA)",11 APR 2010,1163
69,70,45:45,Brahim LAHLAFI,15 APR 1968,MAR,1,"Flint, MI (USA)",23 AUG 1997,1162
70,70,45:45,Girma ASSEFA,20 JUN 1986,ETH,2,Kosa (JPN),09 DEC 2007,1162
71,70,45:45,Yenew ALAMIREW,27 MAY 1990,ETH,2,Amsterdam (NED),17 SEP 2017,1162
72,70,45:45,Edwin KIPLAGAT,19 FEB 1993,KEN,1,"Washington, DC (USA)",12 SEP 2021,1162
73,74,45:47,Josphat Muchiri NDAMBIRI,12 FEB 1985,KEN,2,Kosa (JPN),11 DEC 2005,1160
