,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
0,1,2:54.29,United States,,USA,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1288
1,2,2:55.39,United States,,USA,1,,"National Stadium, Beijing (CHN)",23 AUG 2008,1270
2,3,2:55.56,United States,,USA,1,,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1267
3,4,2:55.70,United States,,USA,1,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1265
4,5,2:55.74,United States,,USA,1,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1264
5,6,2:55.91,United States,,USA,1,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1262
6,7,2:55.99,United States,,USA,1,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1260
7,8,2:56.16,United States,,USA,1,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1258
8,8,2:56.16,United States,,USA,1,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1258
9,10,2:56.17,United States,,USA,1,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1257
10,11,2:56.60,Great Britain & NI,,GBR,2,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1251
11,12,2:56.65,Great Britain & NI,,GBR,1,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1250
12,13,2:56.69,United States,,USA,1,,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1249
13,14,2:56.72,Bahamas,,BAH,1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1249
14,15,2:56.75,Jamaica,,JAM,2,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1248
15,16,2:56.91,United States,,USA,1,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1246
16,17,2:57.05,United States,,USA,2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1243
17,18,2:57.18,Netherlands,,NED,2,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1241
18,19,2:57.25,United States,,USA,1f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1240
19,20,2:57.27,Botswana,,BOT,3,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1240
20,21,2:57.29,United States,,USA,1,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1240
21,22,2:57.30,United States,,USA,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1240
22,23,2:57.32,United States,,USA,1,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995,1239
23,23,2:57.32,Bahamas,,BAH,2,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1239
24,25,2:57.53,Great Britain & NI,,GBR,1,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1236
25,26,2:57.57,United States,,USA,2,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1235
26,27,2:57.59,Bahamas,,BAH,2f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1235
27,28,2:57.72,Adidas,,INT,1f1,,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2022,1233
28,29,2:57.74,Florida,,INT,1,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1233
29,30,2:57.76,Florida,,INT,1f2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1232
30,31,2:57.77,United States,,USA,1h1,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1232
31,32,2:57.78,Arizona State,,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1232
32,33,2:57.82,United States,,USA,1,,"National Stadium, Beijing (CHN)",30 AUG 2015,1231
