"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,2:11.96,Noah NGENY,02 NOV 1978,KEN,1,Rieti (ITA),05 SEP 1999,1250
1,2,2:12.18,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),11 JUL 1981,1245
2,3,2:12.66,Noah NGENY,02 NOV 1978,KEN,1,Nice (FRA),17 JUL 1999,1234
3,4,2:12.88,Steve CRAM,14 OCT 1960,GBR,1,Gateshead (GBR),09 AUG 1985,1229
4,5,2:13.08,Taoufik MAKHLOUFI,29 APR 1988,ALG,1,"Stade Raymond Petit, Tomblaine (FRA)",01 JUL 2015,1224
5,6,2:13.40,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),01 JUL 1980,1216
6,7,2:13.49,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1214
7,8,2:13.56,Kennedy KIMWETICH,1973,KEN,2,Nice (FRA),17 JUL 1999,1213
8,9,2:13.62,Abubaker KAKI,21 JUN 1989,SUD,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1211
9,10,2:13.73,Noureddine MORCELI,28 FEB 1970,ALG,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1209
10,11,2:13.88,Jake WIGHTMAN,11 JUL 1994,GBR,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1205
11,12,2:13.89,Robert BIWOTT,28 JAN 1996,KEN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1205
12,13,2:13.9h,Rick WOHLHUTER,23 DEC 1948,USA,1,Oslo (NOR),30 JUL 1974,1205
13,14,2:13.93,Abubaker KAKI,21 JUN 1989,SUD,1,Stockholm (SWE),22 JUL 2008,1204
14,15,2:13.95,Jonathan KITILIT,24 APR 1994,KEN,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1204
15,16,2:13.96,Mehdi BAALA,17 AUG 1978,FRA,1,Strasbourg (FRA),26 JUN 2003,1203
16,17,2:14.09,Joaquim CRUZ,12 MAR 1963,BRA,1,Nice (FRA),20 AUG 1984,1200
17,18,2:14.23,Asbel KIPROP,30 JUN 1989,KEN,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1197
18,19,2:14.28,Japheth KIMUTAI,20 DEC 1978,KEN,1,Stockholm (SWE),01 AUG 2000,1196
19,20,2:14.30,Marcin LEWANDOWSKI,13 JUN 1987,POL,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1196
20,21,2:14.35,Marco AROP,20 SEP 1998,CAN,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,1194
21,22,2:14.41,William YIAMPOY,17 MAY 1974,KEN,2,Rieti (ITA),05 SEP 1999,1193
22,23,2:14.43,Laban ROTICH,20 JAN 1969,KEN,1,Nice (FRA),16 JUL 1997,1193
23,24,2:14.50,Abdi BILE,28 DEC 1962,SOM,1,Jerez de la Frontera (ESP),13 SEP 1989,1191
24,25,2:14.51,Abdi BILE,28 DEC 1962,SOM,1,"Crystal Palace, London (GBR)",14 JUL 1989,1191
25,26,2:14.52,Djabir SAID-GUERNI,29 MAR 1977,ALG,3,Rieti (ITA),05 SEP 1999,1190
26,27,2:14.53,Willi WÜLBECK,18 DEC 1954,FRG,2,Oslo (NOR),01 JUL 1980,1190
27,28,2:14.54,Joaquim CRUZ,12 MAR 1963,BRA,1,"Eugene, OR (USA)",21 JUL 1984,1190
28,29,2:14.64,Laban ROTICH,20 JAN 1969,KEN,3,Nice (FRA),17 JUL 1999,1188
29,30,2:14.69,El-Mahjoub HAIDA,01 JUL 1970,MAR,1,Nice (FRA),12 JUL 1995,1186
30,31,2:14.72,Yusuf Saad KAMEL,29 MAR 1983,BRN,2,Stockholm (SWE),22 JUL 2008,1186
31,32,2:14.73,Joseph TENGELEI,08 DEC 1972,KEN,2,Nice (FRA),12 JUL 1995,1186
32,32,2:14.73,Patrick KONCHELLAH,20 APR 1968,KEN,2,Stockholm (SWE),01 AUG 2000,1186
33,34,2:14.78,Noah NGENY,02 NOV 1978,KEN,1,Nice (FRA),08 JUL 2000,1184
34,35,2:14.79,William YIAMPOY,17 MAY 1974,KEN,3,Stockholm (SWE),01 AUG 2000,1184
35,36,2:14.83,Boaz Kiplagat LALANG,08 FEB 1989,KEN,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1183
36,37,2:14.88,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1182
37,38,2:14.90,Sebastian COE,29 SEP 1956,GBR,1,Haringey (GBR),16 JUL 1986,1182
38,39,2:14.95,Sammy KOSKEI,14 MAY 1961,KEN,1,Bruxelles (BEL),30 AUG 1985,1181
39,40,2:14.96,Benson KOECH,10 NOV 1974,KEN,2,Nice (FRA),16 JUL 1997,1180
