,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
0,1,1:18.63,Jamaica,,JAM,1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1272
1,2,1:18.68,Santa Monica Track Club,,USA,1,,"Walnut, CA (USA)",17 APR 1994,1270
2,3,1:19.10,World All-Stars,,INT,2,,"Walnut, CA (USA)",17 APR 1994,1253
3,4,1:19.11,Santa Monica Track Club,,USA,1,,"Philadelphia, PA (USA)",23 APR 1992,1253
4,5,1:19.16,United States Red,,USA,1,,"Philadelphia, PA (USA)",26 APR 2003,1251
5,6,1:19.20,Canada,,CAN,1f1,,"Gainesville, FL (USA)",02 APR 2016,1249
6,7,1:19.38,Santa Monica Track Club,,USA,1,,Koblenz (GER),23 AUG 1989,1242
7,8,1:19.39,United States Blue,,USA,1,,"Philadelphia, PA (USA)",28 APR 2001,1242
8,9,1:19.42,Canada,,CAN,1,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1241
9,10,1:19.45,Santa Monica Track Club,,USA,1,,"Philadelphia, PA (USA)",27 APR 1991,1240
10,11,1:19.47,NIKE,,USA,1,,"Philadelphia, PA (USA)",24 APR 1999,1239
11,12,1:19.62,United States Red,,USA,1,,"Philadelphia, PA (USA)",24 APR 2004,1233
12,13,1:19.67,TCU,,INT,1,,"Philadelphia, PA (USA)",29 APR 2000,1231
13,14,1:19.71,TCU,,INT,1h,,"Philadelphia, PA (USA)",27 APR 2001,1230
14,15,1:19.73,United States,,USA,1h1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1229
15,16,1:19.85,NIKE,,USA,1,,"Philadelphia, PA (USA)",25 APR 1998,1224
16,17,1:19.88,Austin All-Stars,,INT,1,,"Austin, TX (USA)",03 APR 1999,1223
17,17,1:19.88,United States,,USA,2,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1223
18,19,1:19.91,HSI,,INT,2,,"Austin, TX (USA)",03 APR 1999,1222
19,19,1:19.91,Canada,,CAN,1f1,,"Gainesville, FL (USA)",01 APR 2017,1222
20,21,1:19.92,NIKE,,USA,1f2,,"Philadelphia, PA (USA)",29 APR 2000,1222
21,22,1:19.99,TCU,,INT,1,,"Philadelphia, PA (USA)",27 APR 2001,1219
22,23,1:20.07,UTech,,INT,1f1,,"Philadelphia, PA (USA)",26 APR 2014,1216
23,24,1:20.12,United States,,USA,1f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1214
24,25,1:20.15,Jamaica,,JAM,1h1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1213
25,26,1:20.17,Canada,,CAN,1f1,,"Gainesville, FL (USA)",30 MAR 2019,1212
26,27,1:20.19,Jamaica,,JAM,1h1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1212
27,28,1:20.22,Georgia,,INT,1f2,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1210
28,29,1:20.23,Tobias Striders,,INT,1,,"Tempe, AZ (USA)",27 MAY 1978,1210
29,30,1:20.26,USC,,USA,2,,"Tempe, AZ (USA)",27 MAY 1978,1209
30,31,1:20.29,Texas A&M,,INT,2f1,,"Philadelphia, PA (USA)",26 APR 2014,1208
31,32,1:20.32,Texas A&M,,INT,1,,"Philadelphia, PA (USA)",25 APR 2009,1207
32,33,1:20.38,Florida,,USA,1,,"Gainesville, FL (USA)",03 APR 2010,1204
33,34,1:20.39,TCU,,INT,1h3,,"Philadelphia, PA (USA)",28 APR 2000,1204
34,35,1:20.42,Octagon,,INT,1,,"Austin, TX (USA)",07 APR 2001,1203
35,35,1:20.42,South Africa,,RSA,2f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1203
