,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
0,1,7:02.43,Kenya,,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1244
1,2,7:02.82,United States,,USA,2,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1241
2,3,7:03.89,Great Britain & NI,,GBR,1,,London (GBR),30 AUG 1982,1233
3,4,7:04.70,South Africa,,RSA,1,,Stuttgart (GER),06 JUN 1999,1227
4,5,7:04.84,United States,,USA,1,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1226
5,6,7:04.89,St Patrick's School,,KEN,2,,Stuttgart (GER),06 JUN 1999,1226
6,7,7:06.12,Benelux,,INT,3,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1217
7,8,7:06.5h,Santa Monica Track Club,,USA,1,,"Walnut, CA (USA)",26 APR 1986,1214
8,9,7:06.66,Qatar,,QAT,4,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1213
9,10,7:07.1h,Kericho,,KEN,1,,Nairobi (KEN),07 MAR 2014,1210
10,11,7:07.40,Soviet Union,,URS,1,,Moskva (URS),05 AUG 1984,1208
11,12,7:08.1h,Soviet Union,,URS,1,,Podolsk (URS),12 AUG 1978,1202
12,13,7:08.3h,Defence Forces,,KEN,2,,Nairobi (KEN),07 MAR 2014,1201
13,13,7:08.30,Kenya,,KEN,1,,Nairobi (KEN),26 APR 2014,1201
14,15,7:08.40,Kenya,,KEN,1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1200
15,16,7:08.6h,Federal Republic of Germany,,FRG,1,,Wiesbaden (GER),13 AUG 1966,1199
16,17,7:08.69,Poland,,POL,2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1198
17,18,7:08.96,Arizona State,,USA,1,,"Tempe, AZ (USA)",07 APR 1984,1196
18,19,7:09.06,United States,,USA,3,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1195
19,20,7:09.1h,Kenya,,KEN,1,,London (GBR),05 SEP 1970,1195
20,20,7:09.1h,Kenya,,KEN,1,,Nairobi (KEN),10 APR 2015,1195
21,22,7:09.21,Kenya B,,KEN,2,,Nairobi (KEN),26 APR 2014,1194
22,23,7:09.6h,Eldoret,,KEN,3,,Nairobi (KEN),07 MAR 2014,1192
23,24,7:09.92,Kenya C,,KEN,3,,Nairobi (KEN),26 APR 2014,1189
24,25,7:09.98,Poland,,POL,2,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1189
25,26,7:10.03,Santa Monica Track Club,,INT,2,,"Tempe, AZ (USA)",07 APR 1984,1188
26,27,7:10.14,Bud Light Track America,,USA,3,,"Tempe, AZ (USA)",07 APR 1984,1188
27,28,7:10.3h,Federal Republic of Germany B,,FRG,2,,Wiesbaden (GER),13 AUG 1966,1186
28,29,7:10.65,District TC,,INT,1,,"Nashville, TN (USA)",01 JUN 2019,1184
29,30,7:11.1h,Belarus,,URS,1,,Moskva (URS),25 JUL 1979,1181
30,31,7:11.17,Penn State,,USA,1,,"Philadelphia, PA (USA)",27 APR 1985,1180
31,32,7:11.3h,Italy,,ITA,1,,Sheffield (GBR),05 JUN 1992,1179
32,32,7:11.3h,Kenya,,KEN,1,,Nairobi (KEN),22 MAR 2014,1179
33,34,7:11.4h,Kenya B,,KEN,2,,Nairobi (KEN),10 APR 2015,1179
34,35,7:11.42,Belarus,,BLR,1,,Portsmouth (GBR),05 JUN 1993,1178
35,36,7:11.48,Australia,,AUS,4,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1178
36,37,7:11.6h,South Africa,,INT,1,,Johannesburg (RSA),30 APR 1973,1177
37,38,7:11.62,Great Britain & NI,,GBR,2,,London (GBR),30 AUG 1982,1177
38,39,7:11.96,Russia,,RUS,2,,Portsmouth (GBR),05 JUN 1993,1174
39,40,7:12.0h,Kenya,,KEN,1,,Mombasa (KEN),18 JUN 1978,1174
40,41,7:12.1h,Federal Republic of Germany,,FRG,1,,Fulda (GER),13 JUN 1968,1173
41,42,7:12.15,VfB Stuttgart,,FRG,1,,Krefeld (GER),26 JUL 1986,1173
42,42,7:12.15,Virginia,,USA,1,,"Philadelphia, PA (USA)",30 APR 2011,1173
43,44,7:12.2h,Great Britain & NI,,GBR,2,,Sheffield (GBR),05 JUN 1992,1173
44,45,7:12.29,Villanova,,UND,1,,"Philadelphia, PA (USA)",24 APR 1982,1172
45,45,7:12.29,Santa Monica Track Club,,USA,1,,"Philadelphia, PA (USA)",24 APR 1992,1172
46,47,7:12.36,Atlanta Track Club,,INT,2,,"Nashville, TN (USA)",01 JUN 2019,1172
47,48,7:12.37,Ole Mississippi,,INT,1,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1172
48,49,7:12.57,Iowa State,,INT,1,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2021,1170
49,50,7:12.62,Georgetown,,USA,2,,"Philadelphia, PA (USA)",24 APR 1982,1170
50,50,7:12.62,Santa Monica Track Club,,USA,1,,"Tempe, AZ (USA)",02 APR 1983,1170
51,52,7:12.66,Great Britain & NI,,GBR,3,,Portsmouth (GBR),05 JUN 1993,1169
52,53,7:12.7h,Russia,,RUS,2,,Moskva (URS),25 JUL 1979,1169
53,54,7:12.81,Richmond,,INT,3,,"Philadelphia, PA (USA)",24 APR 1982,1168
54,55,7:12.90,Penn State,,INT,2,,"Philadelphia, PA (USA)",30 APR 2011,1168
55,56,7:12.96,Santa Monica Track Club,,INT,1,,"Walnut, CA (USA)",27 APR 1985,1167
56,56,7:12.96,Penn State,,INT,2,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1167
57,58,7:13.1h,Ukraine,,URS,3,,Moskva (URS),25 JUL 1979,1166
58,59,7:13.16,United States,,USA,1,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1166
59,60,7:13.20,Russia,,URS,1,,Tbilisi (GEO),15 SEP 1978,1166
60,61,7:13.4h,Leningrad,,URS,4,,Moskva (URS),25 JUL 1979,1164
61,61,7:13.40,Athletic Attic,,USA,2,,"Tempe, AZ (USA)",02 APR 1983,1164
62,63,7:13.48,Arkansas,,INT,4,,"Philadelphia, PA (USA)",24 APR 1982,1164
63,64,7:13.6h,France,,FRA,1,,Bourges (FRA),23 JUN 1979,1163
64,65,7:13.7h,United States,,USA,2,,Bourges (FRA),23 JUN 1979,1162
65,65,7:13.70,Kenya,,KEN,2,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1162
66,67,7:13.71,Ole Mississippi,,INT,1,,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1162
67,68,7:13.75,Georgetown,,INT,1,,"Philadelphia, PA (USA)",24 APR 2004,1162
68,68,7:13.75,Virginia Tech,,INT,1,,"Philadelphia, PA (USA)",29 APR 2017,1162
69,70,7:13.87,Arkansas,,INT,1,,"Philadelphia, PA (USA)",24 APR 1999,1161
70,71,7:13.94,Iowa State,,USA,3,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1160
71,72,7:13.95,Georgetown,,USA,2,,"Philadelphia, PA (USA)",27 APR 1985,1160
72,73,7:13.96,MTV 1881 Ingolstadt,,FRG,2,,Krefeld (GER),26 JUL 1986,1160
73,74,7:14.02,Texas A&M,,USA,3,,"Philadelphia, PA (USA)",30 APR 2011,1160
74,75,7:14.14,Penn State,,USA,1,,"Philadelphia, PA (USA)",27 APR 2013,1159
75,76,7:14.21,VfB Stuttgart,,FRG,1,,Dortmund (GER),30 JUL 1983,1158
76,77,7:14.3h,Moskva,,URS,5,,Moskva (URS),25 JUL 1979,1158
