"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,8.95,0.3,Mike POWELL,10 NOV 1963,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1346
1,2,8.9,2.0,Bob BEAMON,29 AUG 1946,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,1335
2,3,8.87,-0.2,Carl LEWIS,01 JUL 1961,USA,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1330
3,4,8.86,1.9,Robert EMMIYAN,16 FEB 1965,URS,1,Tsakhadzor (ARM),22 MAY 1987,1326
4,5,8.84,1.7,Carl LEWIS,01 JUL 1961,USA,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1322
5,6,8.79,1.9,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1311
6,7,8.76,1.0,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",24 JUL 1982,1304
7,7,8.76,0.8,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",18 JUL 1988,1304
8,9,8.74,1.4,Larry MYRICKS,10 MAR 1956,USA,2,"Indianapolis, IN (USA)",18 JUL 1988,1300
9,9,8.74,2.0,Erick WALDER,05 NOV 1971,USA,1,"El Paso, TX (USA)",02 APR 1994,1300
10,9,8.74,-1.2,Dwight PHILLIPS,01 OCT 1977,USA,1,"Eugene, OR (USA)",07 JUN 2009,1307
11,12,8.73,1.2,Irving SALADINO,23 JAN 1983,PAN,1,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1298
12,13,8.72,-0.2,Carl LEWIS,01 JUL 1961,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988,1296
13,14,8.71,-0.4,Carl LEWIS,01 JUL 1961,USA,1,"Westwood, CA (USA)",13 MAY 1984,1295
14,14,8.71,0.1,Carl LEWIS,01 JUL 1961,USA,1,"Los Angeles, CA (USA)",19 JUN 1984,1293
15,14,8.71,1.9,Iván PEDROSO,17 DEC 1972,CUB,1,"Helmántico, Salamanca (ESP)",18 JUL 1995,1293
16,17,8.7,0.9,Larry MYRICKS,10 MAR 1956,USA,1,"Houston, TX (USA)",17 JUN 1989,1291
17,17,8.7,0.7,Mike POWELL,10 NOV 1963,USA,1,Salamanca (ESP),27 JUL 1993,1291
18,17,8.7,1.6,Iván PEDROSO,17 DEC 1972,CUB,1,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1291
19,20,8.69,0.5,Tajay GAYLE,02 AUG 1996,JAM,1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1289
20,21,8.68,1.0,Carl LEWIS,01 JUL 1961,USA,1q2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1287
21,21,8.68,1.6,Iván PEDROSO,17 DEC 1972,CUB,1,Lisboa (POR),17 JUN 1995,1287
22,21,8.68,1.7,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,Bad Langensalza (GER),30 JUN 2018,1287
23,24,8.67,0.4,Carl LEWIS,01 JUL 1961,USA,1,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1284
24,24,8.67,-0.7,Carl LEWIS,01 JUL 1961,USA,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1288
25,26,8.66,1.0,Larry MYRICKS,10 MAR 1956,USA,1,Tokyo (JPN),23 SEP 1987,1282
26,26,8.66,0.9,Mike POWELL,10 NOV 1963,USA,1,Villeneuve d'Ascq (FRA),28 JUN 1990,1282
27,26,8.66,0.9,Mike POWELL,10 NOV 1963,USA,1,Villeneuve d'Ascq (FRA),29 JUN 1990,1282
28,26,8.66,0.3,Iván PEDROSO,17 DEC 1972,CUB,1,Linz (AUT),22 AUG 1995,1282
29,26,8.66,1.6,Louis TSATOUMAS,12 FEB 1982,GRE,1,Kalamata (GRE),02 JUN 2007,1282
30,26,8.66,1.0,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1282
31,32,8.65,0.2,Carl LEWIS,01 JUL 1961,USA,1,Bruxelles (BEL),24 AUG 1984,1280
32,32,8.65,0.7,Carl LEWIS,01 JUL 1961,USA,1,San José (USA),26 JUN 1987,1280
33,32,8.65,1.5,Iván PEDROSO,17 DEC 1972,CUB,1,Jena (GER),03 JUN 2000,1280
34,32,8.65,1.3,Luvo MANYONGA,08 JAN 1991,RSA,1,Potchefstroom (RSA),22 APR 2017,1280
35,32,8.65,-0.5,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,1283
36,37,8.64,1.7,Carl LEWIS,01 JUL 1961,USA,1,"New York, NY (USA)",15 JUN 1991,1278
37,37,8.64,-0.5,Mike POWELL,10 NOV 1963,USA,2,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1281
38,39,8.63,2.0,Larry MYRICKS,10 MAR 1956,USA,2,San José (USA),26 JUN 1987,1276
39,39,8.63,0.5,Mike POWELL,10 NOV 1963,USA,2,"New York, NY (USA)",15 JUN 1991,1276
40,39,8.63,0.5,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,Linz (AUT),04 JUL 1994,1276
41,39,8.63,1.1,Iván PEDROSO,17 DEC 1972,CUB,1,Padova (ITA),08 JUN 1997,1276
42,39,8.63,-0.4,Irving SALADINO,23 JAN 1983,PAN,2,"Eugene, OR (USA)",07 JUN 2009,1278
43,44,8.62,0.8,Carl LEWIS,01 JUL 1961,USA,1,"Sacramento, CA (USA)",20 JUN 1981,1273
44,44,8.62,-0.1,Carl LEWIS,01 JUL 1961,USA,1,Bruxelles (BEL),30 AUG 1985,1273
45,44,8.62,0.0,Mike POWELL,10 NOV 1963,USA,1,"New Orleans, LA (USA)",24 JUN 1992,1273
46,44,8.62,0.7,James BECKFORD,09 JAN 1975,JAM,1,"Orlando, FL (USA)",05 APR 1997,1273
47,44,8.62,1.2,Luvo MANYONGA,08 JAN 1991,RSA,1,Pretoria (RSA),17 MAR 2017,1273
48,44,8.62,0.8,Luvo MANYONGA,08 JAN 1991,RSA,1,"FBK Stadium, Hengelo (NED)",11 JUN 2017,1273
49,50,8.61,0.5,Carl LEWIS,01 JUL 1961,USA,1,"Westwood, CA (USA)",16 MAY 1982,1271
50,50,8.61,-0.3,Robert EMMIYAN,16 FEB 1965,URS,1,Moskva (URS),06 JUL 1986,1272
51,50,8.61,1.2,Larry MYRICKS,10 MAR 1956,USA,1,Budapest (HUN),12 AUG 1988,1271
52,50,8.61,0.2,Mike POWELL,10 NOV 1963,USA,1,Rhede (GER),07 JUL 1991,1271
53,50,8.61,0.0,Dwight PHILLIPS,01 OCT 1977,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1271
54,50,8.61,0.7,Luvo MANYONGA,08 JAN 1991,RSA,1,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017,1271
55,56,8.6,1.5,Iván PEDROSO,17 DEC 1972,CUB,1,Zürich (SUI),16 AUG 1995,1269
56,56,8.6,-0.1,Iván PEDROSO,17 DEC 1972,CUB,1,Praha (CZE),10 JUN 1997,1269
57,56,8.6,0.4,James BECKFORD,09 JAN 1975,JAM,1,Bad Langensalza (GER),06 JUN 1998,1269
58,56,8.6,1.8,Iván PEDROSO,17 DEC 1972,CUB,1,Padova (ITA),26 JUN 1999,1269
59,56,8.6,0.5,Dwight PHILLIPS,01 OCT 1977,USA,1,Linz (AUT),02 AUG 2004,1269
60,56,8.6,1.6,Dwight PHILLIPS,01 OCT 1977,USA,1,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1269
61,56,8.6,0.7,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,"Grigoris Lambrakis Stadium, Kallithea, Athina (GRE)",26 MAY 2021,1269
62,63,8.59,1.3,Larry MYRICKS,10 MAR 1956,USA,1,Rhede (GER),05 SEP 1984,1267
63,63,8.59,0.4,Mike POWELL,10 NOV 1963,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1267
64,63,8.59,1.6,Iván PEDROSO,17 DEC 1972,CUB,1,Tokyo (JPN),15 SEP 1995,1267
65,63,8.59,0.4,Iván PEDROSO,17 DEC 1972,CUB,1,Stockholm (SWE),07 JUL 1997,1267
66,63,8.59,1.0,Dwight PHILLIPS,01 OCT 1977,USA,1,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1267
67,68,8.58,0.0,Carl LEWIS,01 JUL 1961,USA,1,Zürich (SUI),18 AUG 1982,1265
68,68,8.58,1.1,Larry MYRICKS,10 MAR 1956,USA,1,Sestriere (ITA),11 AUG 1988,1265
69,68,8.58,0.2,Mike POWELL,10 NOV 1963,USA,1,Bruxelles (BEL),19 AUG 1994,1265
70,68,8.58,-0.8,Iván PEDROSO,17 DEC 1972,CUB,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,1269
71,68,8.58,0.0,Erick WALDER,05 NOV 1971,USA,1,"Springfield, MO (USA)",04 MAY 1996,1265
72,68,8.58,1.8,Jarrion LAWSON,06 MAY 1994,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1265
73,68,8.58,0.0,Luvo MANYONGA,08 JAN 1991,RSA,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1265
74,68,8.58,0.2,Luvo MANYONGA,08 JAN 1991,RSA,1,"Olympic Stadium, London (GBR)",22 JUL 2018,1265
75,76,8.57,0.5,Mike POWELL,10 NOV 1963,USA,1,"Olympiastadion, Berlin (GER)",21 AUG 1992,1262
76,76,8.57,-0.2,Mike POWELL,10 NOV 1963,USA,1,Bruxelles (BEL),28 AUG 1992,1263
77,76,8.57,0.5,Dwight PHILLIPS,01 OCT 1977,USA,1,Linz (AUT),23 AUG 2005,1262
78,76,8.57,0.0,Irving SALADINO,23 JAN 1983,PAN,1,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1262
79,80,8.56,0.5,Larry MYRICKS,10 MAR 1956,USA,1,Rhede (GER),01 SEP 1982,1260
80,80,8.56,1.0,Carl LEWIS,01 JUL 1961,USA,1,"Westwood, CA (USA)",15 MAY 1983,1260
81,80,8.56,0.8,Carl LEWIS,01 JUL 1961,USA,1q1,"National Stadium, Tokyo (JPN)",29 AUG 1991,1260
82,80,8.56,1.9,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,"New York, NY (USA)",21 MAY 1995,1260
83,80,8.56,2.0,Iván PEDROSO,17 DEC 1972,CUB,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1260
84,80,8.56,0.2,Iván PEDROSO,17 DEC 1972,CUB,1,Linz (AUT),09 JUL 1997,1260
85,80,8.56,1.3,Yago LAMELA,24 JUL 1977,ESP,1,Torino (ITA),24 JUN 1999,1260
86,80,8.56,1.1,Iván PEDROSO,17 DEC 1972,CUB,1,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1260
87,80,8.56,1.6,Irving SALADINO,23 JAN 1983,PAN,1,Rio de Janeiro (BRA),14 MAY 2006,1260
88,80,8.56,0.8,Irving SALADINO,23 JAN 1983,PAN,1,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1260
89,80,8.56,0.2,Aleksandr MENKOV,07 DEC 1990,RUS,1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1260
90,80,8.56,0.2,Luvo MANYONGA,08 JAN 1991,RSA,1,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1260
91,92,8.55,1.2,Carl LEWIS,01 JUL 1961,USA,1,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1258
92,92,8.55,1.2,Larry MYRICKS,10 MAR 1956,USA,1,"Modesto, CA (USA)",06 MAY 1989,1258
93,92,8.55,1.5,Iván PEDROSO,17 DEC 1972,CUB,1,Bad Cannstatt (GER),09 JUL 1995,1258
94,92,8.55,0.4,Iván PEDROSO,17 DEC 1972,CUB,1,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1258
95,96,8.54,0.9,Lutz DOMBROWSKI,25 JUN 1959,GDR,1,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1256
96,96,8.54,-1.6,Carl LEWIS,01 JUL 1961,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",06 AUG 1984,1265
97,96,8.54,0.8,Carl LEWIS,01 JUL 1961,USA,1,"New York, NY (USA)",22 JUL 1989,1256
98,96,8.54,-0.5,Larry MYRICKS,10 MAR 1956,USA,1,"Stade Louis II, Monaco (MON)",01 SEP 1989,1259
99,96,8.54,0.3,Mike POWELL,10 NOV 1963,USA,1,London (GBR),10 SEP 1993,1256
0,96,8.54,0.7,Iván PEDROSO,17 DEC 1972,CUB,1,"New York, NY (USA)",20 JUL 1998,1256
1,96,8.54,1.8,Louis TSATOUMAS,12 FEB 1982,GRE,1,Chania (GRE),09 JUN 2007,1256
2,96,8.54,0.9,Dwight PHILLIPS,01 OCT 1977,USA,2,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1256
3,96,8.54,0.1,Dwight PHILLIPS,01 OCT 1977,USA,1,"Olympiastadion, Berlin (GER)",22 AUG 2009,1256
4,96,8.54,1.7,Mitchell WATT,25 MAR 1988,AUS,1,"Olympiastadion, Stockholm (SWE)",29 JUL 2011,1256
5,106,8.53,1.2,Carl LEWIS,01 JUL 1961,USA,1,"Houston, TX (USA)",04 MAY 1985,1254
6,106,8.53,-0.2,Robert EMMIYAN,16 FEB 1965,URS,2,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1255
7,106,8.53,0.3,Carl LEWIS,01 JUL 1961,USA,1,Stockholm (SWE),03 JUL 1989,1254
8,106,8.53,1.2,Jaime JEFFERSON,17 JAN 1962,CUB,1,La Habana (CUB),12 MAY 1990,1254
9,106,8.53,-0.1,Carl LEWIS,01 JUL 1961,USA,2,"New Orleans, LA (USA)",24 JUN 1992,1254
10,106,8.53,1.6,Iván PEDROSO,17 DEC 1972,CUB,1,Sevilla (ESP),17 JUL 1992,1254
11,106,8.53,0.9,Erick WALDER,05 NOV 1971,USA,1,"New Orleans, LA (USA)",03 JUN 1993,1254
12,106,8.53,1.0,Iván PEDROSO,17 DEC 1972,CUB,1,Fukuoka (JPN),13 SEP 1997,1254
