"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,18.29,1.3,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1303
1,2,18.21,0.2,Christian TAYLOR,18 JUN 1990,USA,1.0,"National Stadium, Beijing (CHN)",27 AUG 2015,1294
2,3,18.16,1.3,Jonathan EDWARDS,10 MAY 1966,GBR,,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1289
3,4,18.14,0.4,Will CLAYE,13 JUN 1991,USA,1.0,"Long Beach, CA (USA)",29 JUN 2019,1287
4,5,18.11,0.8,Christian TAYLOR,18 JUN 1990,USA,1.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1283
5,6,18.09,-0.4,Kenny HARRISON,13 FEB 1965,USA,1.0,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1283
6,7,18.08,0.0,Pedro PICHARDO,30 JUN 1993,CUB,1.0,La Habana (CUB),28 MAY 2015,1280
7,8,18.06,0.8,Pedro PICHARDO,30 JUN 1993,CUB,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1278
8,8,18.06,1.1,Christian TAYLOR,18 JUN 1990,USA,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1278
9,8,18.06,0.4,Will CLAYE,13 JUN 1991,USA,1.0,"Stade Charléty, Paris (FRA)",24 AUG 2019,1278
10,11,18.04,0.3,Teddy TAMGHO,15 JUN 1989,FRA,1.0,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1276
11,11,18.04,0.8,Christian TAYLOR,18 JUN 1990,USA,2.0,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1276
12,13,18.01,0.4,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1273
13,14,18.0,1.3,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,London (GBR),27 AUG 1995,1272
14,15,17.99,0.5,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Népstadion, Budapest (HUN)",23 AUG 1998,1271
15,15,17.99,1.8,Pedro PICHARDO,30 JUN 1993,CUB,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1271
16,17,17.98,1.8,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Helmántico, Salamanca (ESP)",18 JUL 1995,1269
17,17,17.98,1.2,Teddy TAMGHO,15 JUN 1989,FRA,1.0,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1269
18,17,17.98,0.0,Pedro PICHARDO,30 JUN 1993,POR,1.0,"National Stadium, Tokyo (JPN)",05 AUG 2021,1269
19,20,17.97,1.5,Willie BANKS,11 MAR 1956,USA,1.0,"Indianapolis, IN (USA)",16 JUN 1985,1268
20,21,17.96,0.1,Christian TAYLOR,18 JUN 1990,USA,1.0,"DS, Daegu (KOR)",04 SEP 2011,1267
21,21,17.96,-0.4,Pedro PICHARDO,30 JUN 1993,CUB,1.0,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1269
22,23,17.95,0.6,Pedro PICHARDO,30 JUN 1993,POR,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1266
23,23,17.95,0.3,Pedro PICHARDO,30 JUN 1993,POR,1.0,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1266
24,25,17.94,0.0,Pedro PICHARDO,30 JUN 1993,CUB,1.0,La Habana (CUB),08 MAY 2015,1265
25,26,17.93,1.6,Kenny HARRISON,13 FEB 1965,USA,1.0,Stockholm (SWE),02 JUL 1990,1264
26,27,17.92,1.6,Khristo MARKOV,27 JAN 1965,BUL,1.0,"Stadio Olimpico, Roma (ITA)",31 AUG 1987,1263
27,27,17.92,1.9,James BECKFORD,09 JAN 1975,JAM,1.0,"Odessa, TX (USA)",20 MAY 1995,1263
28,27,17.92,0.7,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Commonwealth Stadium, Edmonton (CAN)",06 AUG 2001,1263
29,27,17.92,0.9,Christian TAYLOR,18 JUN 1990,USA,1.0,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1263
30,27,17.92,0.4,Pedro PICHARDO,30 JUN 1993,POR,1.0,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1263
31,32,17.91,1.4,Teddy TAMGHO,15 JUN 1989,FRA,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1262
32,32,17.91,0.9,Will CLAYE,13 JUN 1991,USA,1.0,"Sacramento, CA (USA)",23 JUN 2017,1262
33,34,17.9,1.0,Volodimir INOZEMTSEV,25 MAY 1964,URS,1.0,Bratislava (TCH),20 JUN 1990,1261
34,34,17.9,0.4,Jadel GREGÓRIO,16 SEP 1980,BRA,1.0,"Mangueirão, Belém (BRA)",20 MAY 2007,1261
35,36,17.89,0.0,João Carlos DE OLIVEIRA,28 MAY 1954,BRA,1.0,Ciudad de México (MEX),15 OCT 1975,1260
36,37,17.88,0.9,Jonathan EDWARDS,10 MAY 1966,GBR,2.0,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1259
37,38,17.87,1.7,Mike CONLEY,05 OCT 1962,USA,1.0,San José (USA),27 JUN 1987,1258
38,38,17.87,1.2,Jordan Alejandro DÍAZ FORTUN,23 FEB 2001,CUB,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",26 JUN 2022,1258
39,38,17.87,1.3,Jaydon HIBBERT,17 JAN 2005,JAM,1.0,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1258
