"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,15.67,0.7,Yulimar ROJAS,21 OCT 1995,VEN,1,"National Stadium, Tokyo (JPN)",01 AUG 2021,1290
1,2,15.52,0.6,Yulimar ROJAS,21 OCT 1995,VEN,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1274
2,3,15.5,0.9,Inessa KRAVETS,05 OCT 1966,UKR,1,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1272
3,4,15.48,0.3,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1270
4,5,15.47,1.9,Yulimar ROJAS,21 OCT 1995,VEN,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1269
5,6,15.43,0.7,Yulimar ROJAS,21 OCT 1995,VEN,1,"Polideportivo Municipal, Andújar (ESP)",22 MAY 2021,1265
6,7,15.41,1.5,Yulimar ROJAS,21 OCT 1995,VEN,1,Andújar (ESP),06 SEP 2019,1263
7,8,15.39,0.5,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"National Stadium, Beijing (CHN)",17 AUG 2008,1260
8,9,15.37,-0.6,Yulimar ROJAS,21 OCT 1995,VEN,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1261
9,10,15.34,-0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Herakleion (GRE),04 JUL 2004,1258
10,11,15.33,-0.1,Inessa KRAVETS,05 OCT 1966,UKR,1,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1254
11,11,15.33,1.2,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1254
12,13,15.32,0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Yokohama (JPN),09 SEP 2000,1253
13,13,15.32,0.9,Chrysopigi DEVETZI,02 JAN 1976,GRE,1q1,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1253
14,15,15.31,0.0,Caterine IBARGUEN,12 FEB 1984,COL,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1252
15,15,15.31,-0.2,Yulimar ROJAS,21 OCT 1995,VEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1253
16,17,15.3,0.5,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1251
17,18,15.29,0.3,Yamilé ALDAMA,14 AUG 1972,CUB,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,1250
18,19,15.28,0.3,Yamilé ALDAMA,14 AUG 1972,SUD,1,Linz (AUT),02 AUG 2004,1249
19,19,15.28,0.9,Yargelis SAVIGNE,13 NOV 1984,CUB,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1249
20,19,15.28,-0.2,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1250
21,22,15.27,1.2,Yamilé ALDAMA,14 AUG 1972,CUB,1,"Crystal Palace, London (GBR)",08 AUG 2003,1248
22,23,15.25,-0.8,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Commonwealth Stadium, Edmonton (CAN)",10 AUG 2001,1250
23,23,15.25,-0.1,Chrysopigi DEVETZI,02 JAN 1976,GRE,2,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1246
24,23,15.25,1.7,Olga RYPAKOVA,30 NOV 1984,KAZ,1,"Poljud Stadion, Split (CRO)",04 SEP 2010,1246
25,26,15.23,0.8,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Rethymno (GRE),23 JUN 2004,1244
26,26,15.23,0.6,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1244
27,28,15.21,1.2,Yamilé ALDAMA,14 AUG 1972,SUD,2,Rethymno (GRE),23 JUN 2004,1242
28,29,15.2,0.0,Šárka KAŠPÁRKOVÁ,20 MAY 1971,CZE,1,"Olympic Stadium, Athina (GRE)",04 AUG 1997,1241
29,29,15.2,-0.3,Tereza MARINOVA,25 SEP 1977,BUL,1,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,1242
30,29,15.2,1.3,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Rethymno (GRE),14 JUL 2008,1241
31,32,15.19,0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1240
32,32,15.19,1.4,Yulimar ROJAS,21 OCT 1995,VEN,,"Estadio Vallehermoso, Madrid (ESP)",19 JUN 2021,1240
33,34,15.18,0.3,Iva PRANDZHEVA,15 FEB 1972,BUL,2,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1239
34,34,15.18,-0.2,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1240
35,36,15.17,0.4,Caterine IBARGUEN,12 FEB 1984,COL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1238
36,37,15.16,0.1,Rodica MATEESCU,13 MAR 1971,ROU,2,"Olympic Stadium, Athina (GRE)",04 AUG 1997,1237
