"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,11:41.85,Norica CÎMPEAN,22 MAR 1972,ROU,1,Bucureşti (ROU),06 FEB 1999,1199
1,2,11:48.24,Ileana SALVADOR,16 JAN 1962,ITA,1,Padova (ITA),29 AUG 1993,1186
2,3,11:50.30,Marina NOVIKOVA,01 MAR 1989,RUS,1,Moskva (RUS),18 JUL 2016,1182
3,4,11:52.01,Beate ANDERS,04 FEB 1968,GER,1,Lapinlahti (FIN),27 JUN 1993,1178
4,5,11:52.38,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,"Mestský Stadion, Ostrava (CZE)",26 MAY 2015,1177
5,6,11:57.00,Elisa RIGAUDO,17 JUN 1980,ITA,1,Genova (ITA),21 FEB 2004,1168
6,7,11:57.36,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Formia (ITA),18 MAY 1996,1167
7,8,11:57.80,Erica ALFRIDI,22 FEB 1968,ITA,1,Milano (ITA),06 JUN 2001,1166
8,9,11:58.17,Elisabetta PERRONE,09 JUL 1968,ITA,2,Milano (ITA),06 JUN 2001,1165
9,10,11:59.25,Olimpiada IVANOVA,29 AUG 1970,RUS,3,Milano (ITA),06 JUN 2001,1163
10,11,11:59.60,Sari ESSAYAH,21 FEB 1967,FIN,2,Lapinlahti (FIN),27 JUN 1993,1162
11,12,11:59.96,Melanie SEEGER,08 JAN 1977,GER,1,Leipzig (GER),22 FEB 2003,1162
12,13,12:00.13,Erica ALFRIDI,22 FEB 1968,ITA,1,Genova (ITA),22 FEB 1997,1161
13,14,12:00.53,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Lillehammer (NOR),31 JUL 2009,1160
14,15,12:00.58,Claudia IOVAN,25 FEB 1978,ROU,2,Milano (ITA),09 JUN 1999,1160
15,16,12:00.87,María PÉREZ,29 APR 1996,ESP,1,Huelva (ESP),08 JUN 2018,1160
16,17,12:02.4h,Irina PETROVA,25 MAY 1985,RUS,1,St. Petersburg (RUS),22 MAY 2006,1156
17,18,12:04.86,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,Sindelfingen (GER),19 FEB 2005,1151
18,19,12:05.72,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,,Utena (LTU),02 JUN 2018,1150
19,20,12:06.05,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Mataró (ESP),06 JUL 2016,1149
20,21,12:06.63,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Formia (ITA),13 JUL 1997,1148
21,22,12:07.41,Eleonora Anna GIORGI,14 SEP 1989,ITA,,"San Diego, CA (USA)",17 JAN 2015,1146
22,23,12:08.30,Susana FEITOR,28 JAN 1975,POR,1,Vila Real de Santo António (POR),03 JUN 2001,1144
23,24,12:08.58,Beate GUMMELT,04 FEB 1968,GER,2,Formia (ITA),18 MAY 1996,1144
24,25,12:10.31,Zhuo CHEN,,CHN,1,Zhengzhou (CHN),27 AUG 2005,1140
25,26,12:11.12,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,2,"Mestský Stadion, Ostrava (CZE)",26 MAY 2015,1139
26,27,12:11.27,Júlia TAKÁCS,29 JUN 1989,ESP,1,Huelva (ESP),12 JUN 2014,1138
27,28,12:11.3h,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Moskva (RUS),23 JAN 1997,1138
28,29,12:11.70,Miao YU,02 APR 1989,CHN,2,Zhengzhou (CHN),27 AUG 2005,1137
29,30,12:14.42,Annarita SIDOTI,25 JUL 1969,ITA,3,Formia (ITA),18 MAY 1996,1132
30,31,12:14.48,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),20 FEB 1988,1132
31,32,12:15.89,Clémence BERETTA,22 DEC 1997,FRA,1,"Parc de La Colombiere, Epinal (FRA)",07 MAY 2023,1129
32,33,12:16.00,Katarzyna RADTKE,31 AUG 1969,POL,,Sopot (POL),01 MAY 1993,1129
33,34,12:16.10,Laura GARCÍA-CARO,16 APR 1995,ESP,1,Huelva (ESP),14 JUN 2017,1128
34,35,12:17.50,Ana CABECINHA,29 APR 1984,POR,2,Huelva (ESP),12 JUN 2014,1125
35,36,12:17.59,Vera SANTOS,03 DEC 1981,POR,1,Lisboa (POR),12 JUN 2010,1125
36,37,12:17.81,Natalya FEDOSKINA,25 JUN 1980,RUS,1,Formia (ITA),03 JUN 2000,1125
37,38,12:18.15,Rossella GIORDANO,01 DEC 1972,ITA,4,Formia (ITA),18 MAY 1996,1124
38,39,12:18.18,Hong LIU,12 MAY 1987,CHN,3,Zhengzhou (CHN),27 AUG 2005,1124
39,40,12:18.19,Gillian O'SULLIVAN,21 AUG 1976,IRL,1,Castleisland (IRL),11 JUN 2000,1124
40,41,12:18.86,Kate VEALE,05 JAN 1994,IRL,1,Tullamore (IRL),23 JUL 2011,1123
41,42,12:19.3h,Tamara KOVALENKO,05 JUN 1964,RUS,2,Moskva (RUS),23 JAN 1997,1122
42,43,12:20.09,Júlia TAKÁCS,29 JUN 1989,ESP,1,Huelva (ESP),10 JUN 2015,1120
43,44,12:20.3h,Natalya TROFIMOVA,17 JAN 1975,RUS,3,Moskva (RUS),23 JAN 1997,1120
44,45,12:20.44,María VASCO,26 DEC 1975,ESP,,Gavá (ESP),13 JUN 2004,1119
45,46,12:20.57,Cristiana PELLINO,21 SEP 1970,ITA,1,San Marino (SMR),04 JUL 1996,1119
46,47,12:20.66,Sari ESSAYAH,21 FEB 1967,FIN,1,Lapinlahti (FIN),24 JUN 1990,1119
47,48,12:20.9h,Rimma MAKAROVA,18 JUL 1963,RUS,4,Moskva (RUS),23 JAN 1997,1119
48,49,12:21.26,Annarita SIDOTI,25 JUL 1969,ITA,2,Formia (ITA),13 JUL 1997,1118
49,50,12:21.84,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,1,Kaunas (LTU),10 MAY 2014,1117
50,51,12:22.49,Sylwia KORZENIOWSKA,25 APR 1980,POL,1,Sotteville-lès-Rouen (FRA),07 MAY 2006,1115
51,52,12:23.42,Taika NUMMI,12 OCT 1997,FIN,1,Espoo (FIN),06 JUN 2016,1113
52,53,12:23.69,Yang LIU,26 FEB 1992,CHN,1,Yantai (CHN),11 OCT 2006,1113
53,54,12:23.71,Olga RYABINKINA,24 SEP 1976,RUS,2,Formia (ITA),03 JUN 2000,1113
54,55,12:23.93,Laura GARCÍA-CARO,16 APR 1995,ESP,2,Huelva (ESP),08 JUN 2018,1112
55,56,12:24.51,Raquel GONZÁLEZ,16 NOV 1989,ESP,2,Huelva (ESP),10 JUN 2015,1111
56,57,12:24.70,Lijun ZHAI,28 NOV 1986,CHN,4,Zhengzhou (CHN),27 AUG 2005,1111
57,57,12:24.70,Bethan DAVIES,07 NOV 1990,GBR,1,Cardiff (GBR),11 JUN 2016,1111
58,59,12:25.01,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Naka (JPN),02 JUN 2007,1110
59,60,12:25.1h,Madelein SVENSSON,20 JUL 1969,SWE,1,Strömstad (SWE),18 JUL 1993,1110
60,61,12:25.50,Michaela HAFNER,02 AUG 1973,ITA,2,San Marino (SMR),04 JUL 1996,1109
61,62,12:26.24,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,Berlin (GER),26 JUN 1998,1108
62,63,12:26.32,Anne MANNING,13 NOV 1959,AUS,3,Melbourne (AUS),07 FEB 1991,1108
63,64,12:26.45,Bethan DAVIES,07 NOV 1990,GBR,1,Cardiff (GBR),10 JUN 2017,1107
64,65,12:27.0h,Anita LIEPIŅA,17 NOV 1967,LAT,1,Ventspils (LAT),16 AUG 1997,1106
65,66,12:27.73,Tanya HOLLIDAY,21 SEP 1988,AUS,1,Adelaide (AUS),19 JAN 2013,1105
66,67,12:28.11,Li ZHANG,22 MAY 1990,CHN,2,Yantai (CHN),11 OCT 2006,1104
67,68,12:28.37,Sonata MILUŠAUSKAITĖ,21 AUG 1973,LTU,1,Alcanena (POR),11 MAR 2006,1103
68,69,12:28.7h,Nadezhda RYASHKINA,22 JAN 1967,RUS,1,Moskva (RUS),06 JAN 1998,1103
69,70,12:28.92,Elisa RIGAUDO,17 JUN 1980,ITA,1,Torino (ITA),07 JUN 2002,1102
70,71,12:28.97,Sofiya BRODATSKAYA,24 OCT 1994,RUS,2,Moskva (RUS),18 JUL 2016,1102
71,72,12:29.00,María José POVES,16 MAR 1978,ESP,2,Mataró (ESP),06 JUL 2016,1102
72,73,12:29.38,Laura GARCÍA-CARO,16 APR 1995,ESP,3,Huelva (ESP),10 JUN 2015,1101
73,74,12:30.58,Živilė VAICIUKEVIČIŪTĖ,03 APR 1996,LTU,1,Utena (LTU),02 JUN 2018,1099
74,75,12:30.81,Taika NUMMI,12 OCT 1997,FIN,1,Turku (FIN),29 JUN 2016,1099
75,76,12:31.89,Agnieszka DYGACZ,18 JUL 1985,POL,1,Kraków (POL),08 SEP 2012,1096
76,77,12:32.07,Teresa ZUREK,29 JUL 1998,GER,1,Dessau (GER),16 JUN 2017,1096
