"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,8:06.11,Junxia WANG,09 JAN 1973,CHN,1,Beijing (CHN),13 SEP 1993,1293
1,2,8:12.18,Yunxia QU,25 DEC 1972,CHN,2,Beijing (CHN),13 SEP 1993,1272
2,3,8:12.19,Junxia WANG,09 JAN 1973,CHN,1h2,Beijing (CHN),12 SEP 1993,1272
3,4,8:12.27,Yunxia QU,25 DEC 1972,CHN,2h2,Beijing (CHN),12 SEP 1993,1271
4,5,8:16.50,Linli ZHANG,06 MAR 1973,CHN,3,Beijing (CHN),13 SEP 1993,1256
5,6,8:18.49,Sifan HASSAN,01 JAN 1993,NED,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1249
6,7,8:19.08,Francine NIYONSABA,05 MAY 1993,BDI,1,"Stade Charléty, Paris (FRA)",28 AUG 2021,1247
7,8,8:19.52,Ejgayehu TAYE,10 FEB 2000,ETH,2,"Stade Charléty, Paris (FRA)",28 AUG 2021,1245
8,9,8:19.78,Liyan MA,06 SEP 1968,CHN,3h2,Beijing (CHN),12 SEP 1993,1244
9,10,8:20.07,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1243
10,11,8:20.27,Letesenbet GIDEY,20 MAR 1998,ETH,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1243
11,12,8:20.68,Hellen OBIRI,13 DEC 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1241
12,13,8:21.14,Mercy CHERONO,07 MAY 1991,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1240
13,14,8:21.26,Liyan MA,06 SEP 1968,CHN,4,Beijing (CHN),13 SEP 1993,1239
14,15,8:21.29,Genzebe DIBABA,08 FEB 1991,ETH,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1239
15,16,8:21.42,Gabriela SZABO,14 NOV 1975,ROU,1,"Stade Louis II, Monaco (MON)",19 JUL 2002,1239
16,17,8:21.53,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,"Stade Charléty, Paris (FRA)",28 AUG 2021,1238
17,18,8:21.64,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,"Crystal Palace, London (GBR)",15 JUL 1994,1238
18,19,8:21.84,Li-rong ZHANG,03 MAR 1973,CHN,5,Beijing (CHN),13 SEP 1993,1237
19,20,8:22.06,Linli ZHANG,06 MAR 1973,CHN,1h1,Beijing (CHN),12 SEP 1993,1236
20,21,8:22.20,Paula RADCLIFFE,17 DEC 1973,GBR,2,"Stade Louis II, Monaco (MON)",19 JUL 2002,1236
