"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,12.12,0.9,Tobi AMUSAN,23 APR 1997,NGR,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1272
1,2,12.2,0.3,Kendra HARRISON,18 SEP 1992,USA,1,"Olympic Stadium, London (GBR)",22 JUL 2016,1261
2,3,12.21,0.7,Yordanka DONKOVA,28 SEP 1961,BUL,1,Stara Zagora (BUL),20 AUG 1988,1259
3,4,12.24,0.9,Yordanka DONKOVA,28 SEP 1961,BUL,1sf,Stara Zagora (BUL),28 AUG 1988,1255
4,4,12.24,0.7,Kendra HARRISON,18 SEP 1992,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1255
5,6,12.25,1.4,Ginka ZAGORCHEVA,12 APR 1958,BUL,1,Drama (GRE),08 AUG 1987,1253
6,7,12.26,1.5,Yordanka DONKOVA,28 SEP 1961,BUL,1,Ljubljana (SLO),07 SEP 1986,1252
7,7,12.26,1.7,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1f1,Sevilla (ESP),06 JUN 1992,1252
8,7,12.26,1.2,Brianna MCNEAL,18 AUG 1991,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1252
9,7,12.26,-0.2,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1253
10,11,12.27,-1.2,Yordanka DONKOVA,28 SEP 1961,BUL,1,Stara Zagora (BUL),28 AUG 1988,1258
11,11,12.27,0.9,Kendra HARRISON,18 SEP 1992,USA,2sf1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1251
12,11,12.27,0.1,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1251
13,14,12.28,1.8,Lyudmila NAROZHILENKO,21 APR 1964,URS,1,Kiev (URS),11 JUL 1991,1249
14,14,12.28,0.9,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1f2,Sevilla (ESP),06 JUN 1992,1249
15,14,12.28,1.1,Sally PEARSON,19 SEP 1986,AUS,1,"DS, Daegu (KOR)",03 SEP 2011,1249
16,14,12.28,0.1,Kendra HARRISON,18 SEP 1992,USA,1f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",04 JUL 2017,1249
17,18,12.29,-0.4,Yordanka DONKOVA,28 SEP 1961,BUL,1,Köln (GER),17 AUG 1986,1250
18,18,12.29,-0.3,Tobi AMUSAN,23 APR 1997,NGR,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1249
19,20,12.3,-0.2,Tobi AMUSAN,23 APR 1997,NGR,1,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,1247
20,21,12.31,0.3,Britany ANDERSON,03 JAN 2001,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1245
21,21,12.31,-0.2,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1246
22,23,12.32,1.6,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1,Paris-St-Denis (FRA),04 JUN 1992,1244
