"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,22.63,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Moskva (URS),07 JUN 1987,1372
1,2,22.6,Natalya LISOVSKAYA,16 JUL 1962,URS,,Moskva (URS),07 JUN 1987,1371
2,3,22.55,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Tallinn (EST),05 JUL 1988,1367
3,4,22.53,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Sochi (URS),27 MAY 1984,1366
4,4,22.53,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Kiev (URS),14 AUG 1988,1366
5,6,22.45,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),11 MAY 1980,1361
6,7,22.41,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,"Lenin Stadium, Moskva (URS)",24 JUL 1980,1359
7,8,22.4,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),03 JUN 1983,1358
8,9,22.38,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Karl Marx Stadt (GDR),25 MAY 1980,1357
9,10,22.36,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Celje (SLO),02 MAY 1980,1355
10,11,22.34,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),07 MAY 1980,1354
11,11,22.34,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Cottbus (GER),18 JUL 1980,1354
12,13,22.32,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Nitra (TCH),20 AUG 1977,1353
13,14,22.24,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1348
14,15,22.22,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),13 JUL 1980,1347
15,16,22.19,Claudia LOSCH,10 JAN 1960,FRG,1.0,Hainfeld (AUT),23 AUG 1987,1345
16,17,22.13,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Split (CRO),29 APR 1980,1341
17,18,22.06,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Moskva (URS),06 AUG 1988,1337
18,19,22.05,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),28 MAY 1980,1336
19,19,22.05,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),31 MAY 1980,1336
20,21,22.04,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),04 JUL 1979,1335
21,21,22.04,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),29 JUL 1979,1335
22,23,21.99,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Opava (TCH),26 SEP 1976,1332
23,24,21.98,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),17 JUL 1979,1332
24,25,21.96,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Ostrava (TCH),08 JUN 1977,1330
25,25,21.96,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Praha (TCH),16 AUG 1984,1330
26,25,21.96,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Vilnius (LTU),28 AUG 1988,1330
27,28,21.95,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Edinburgh (GBR),29 JUL 1988,1330
28,29,21.92,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Sochi (URS),01 JUN 1988,1328
29,30,21.91,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,München (GER),17 JUN 1977,1327
30,31,21.89,Ivanka KHRISTOVA,19 NOV 1941,BUL,1.0,Belmeken (BUL),04 JUL 1976,1326
31,32,21.87,Ivanka KHRISTOVA,19 NOV 1941,BUL,1.0,Belmeken (BUL),03 JUL 1976,1325
32,32,21.87,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Fürth (GER),10 JUN 1978,1325
33,32,21.87,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Sofia (BUL),22 MAY 1983,1325
34,35,21.86,Marianne ADAM,19 SEP 1951,GDR,1.0,Leipzig (GER),23 JUN 1979,1324
35,35,21.86,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Praha (TCH),09 JUN 1984,1324
36,37,21.85,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),15 JUL 1984,1323
37,38,21.81,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,"Los Angeles, CA (USA)",26 JUN 1983,1321
38,39,21.8,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),18 AUG 1982,1320
39,40,21.78,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Jena (GDR),17 MAY 1980,1319
40,40,21.78,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Dresden (GER),01 JUL 1982,1319
41,42,21.76,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Praha (TCH),25 AUG 1978,1318
42,42,21.76,Meisu LI,17 APR 1959,CHN,1.0,Shijiazhuang (CHN),23 APR 1988,1318
43,44,21.75,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Düsseldorf (GER),01 JUL 1977,1317
44,44,21.75,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),09 JUL 1980,1317
45,44,21.75,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),19 MAY 1983,1317
46,44,21.75,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Sochi (URS),20 MAY 1984,1317
47,48,21.74,Ilona SLUPIANEK,24 SEP 1956,GDR,2.0,Leipzig (GER),23 JUN 1979,1317
48,49,21.73,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),31 JUL 1983,1316
49,49,21.73,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Erfurt (GER),23 JUN 1985,1316
50,49,21.73,Natalya AKHRIMENKO,12 MAY 1955,URS,1.0,Leselidze (URS),21 MAY 1988,1316
51,49,21.73,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Portsmouth (GBR),19 JUN 1988,1316
52,53,21.72,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Cottbus (GER),25 JUN 1982,1315
53,53,21.72,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),05 MAY 1983,1315
54,53,21.72,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Kiev (URS),20 JUN 1984,1315
55,56,21.71,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),12 MAY 1983,1315
56,57,21.7,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Tallinn (EST),21 JUN 1986,1314
57,58,21.69,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Rostock (GER),29 JUN 1979,1313
58,58,21.69,Vita PAVLYSH,15 JAN 1969,UKR,1.0,"Népstadion, Budapest (HUN)",20 AUG 1998,1313
59,60,21.67,Marianne ADAM,19 SEP 1951,GDR,1.0,Karl Marx Stadt (GDR),30 MAY 1976,1312
60,60,21.67,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Karl Marx Stadt (GDR),09 JUL 1982,1312
61,62,21.66,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Budapest (HUN),19 JUN 1976,1312
62,62,21.66,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Budapest (HUN),16 SEP 1976,1312
63,62,21.66,Xinmei SUI,29 JAN 1965,CHN,1.0,Beijing (CHN),09 JUN 1990,1312
64,65,21.65,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,München (GER),10 SEP 1978,1311
65,65,21.65,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),08 JUN 1983,1311
