"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,21.34,1.3,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1308
1,2,21.45,0.6,Shericka JACKSON,16 JUL 1994,JAM,1,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1296
2,3,21.53,0.8,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Tokyo (JPN)",03 AUG 2021,1288
3,4,21.55,0.0,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",26 JUN 2022,1286
4,5,21.56,1.7,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1sf1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1284
5,6,21.61,1.3,Gabrielle THOMAS,07 DEC 1996,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1279
6,7,21.62,-0.6,Marion JONES,12 OCT 1975,USA,1,"SGJ, Johannesburg (RSA)",11 SEP 1998,1281
7,8,21.63,0.2,Dafne SCHIPPERS,15 JUN 1992,NED,1,"National Stadium, Beijing (CHN)",28 AUG 2015,1277
8,9,21.64,0.8,Merlene OTTEY,10 MAY 1960,JAM,1,Bruxelles (BEL),13 SEP 1991,1276
9,10,21.66,-1.0,Merlene OTTEY,10 MAY 1960,JAM,1f1,Zürich (SUI),15 AUG 1990,1280
10,10,21.66,0.2,Elaine THOMPSON,28 JUN 1992,JAM,2,"National Stadium, Beijing (CHN)",28 AUG 2015,1274
11,10,21.66,0.3,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021,1274
12,13,21.67,2.0,Shericka JACKSON,16 JUL 1994,JAM,1sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1273
13,14,21.69,1.0,Allyson FELIX,18 NOV 1985,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1271
14,15,21.71,0.7,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),10 JUN 1979,1268
15,15,21.71,0.3,Marita KOCH,18 FEB 1957,GDR,1,Potsdam (GDR),21 JUL 1984,1268
16,15,21.71,1.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),29 JUN 1986,1268
17,15,21.71,-0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,"Neckarstadion, Stuttgart (GER)",29 AUG 1986,1272
18,19,21.72,1.3,Grace JACKSON,14 JUN 1961,JAM,2,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1267
19,19,21.72,-0.1,Gwen TORRENCE,12 JUN 1965,USA,1sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1267
20,21,21.74,0.4,Marlies GÖHR,21 MAR 1958,GDR,1,Erfurt (GER),03 JUN 1984,1265
21,21,21.74,1.2,Silke MÖLLER,20 JUN 1964,GDR,1,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1265
22,21,21.74,0.6,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1265
23,21,21.74,-0.4,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,1267
24,25,21.75,-0.1,Juliet CUTHBERT,09 APR 1964,JAM,2sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1264
25,26,21.76,0.3,Marita KOCH,18 FEB 1957,GDR,1,Dresden (GER),03 JUL 1982,1263
26,26,21.76,0.7,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1263
27,26,21.76,-0.8,Marion JONES,12 OCT 1975,USA,1,Zürich (SUI),13 AUG 1997,1267
28,29,21.77,-0.1,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf2,"Indianapolis, IN (USA)",22 JUL 1988,1262
29,29,21.77,1.0,Merlene OTTEY,10 MAY 1960,JAM,1,"Stade Louis II, Monaco (MON)",07 AUG 1993,1262
30,29,21.77,-0.3,Gwen TORRENCE,12 JUN 1965,USA,1,Köln (GER),18 AUG 1995,1263
31,29,21.77,0.6,Inger MILLER,12 JUN 1972,USA,1,"La Cartuja, Sevilla (ESP)",27 AUG 1999,1262
32,29,21.77,1.5,Tori BOWIE,27 AUG 1990,USA,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1262
33,29,21.77,-0.3,Abby STEINER,24 NOV 1999,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1263
34,35,21.78,-1.3,Marita KOCH,18 FEB 1957,GDR,1,Leipzig (GER),11 AUG 1985,1268
35,35,21.78,-0.1,Elaine THOMPSON,28 JUN 1992,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1261
36,35,21.78,0.6,Christine MBOMA,22 MAY 2003,NAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1261
37,38,21.79,1.7,Silke MÖLLER,20 JUN 1964,GDR,1,Potsdam (GDR),22 AUG 1987,1260
38,38,21.79,0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"National Stadium, Kingston (JAM)",27 JUN 2021,1260
39,40,21.8,-1.1,Merlene OTTEY,10 MAY 1960,JAM,1,Nice (FRA),10 JUL 1990,1265
40,40,21.8,0.4,Marion JONES,12 OCT 1975,USA,1,"New York, NY (USA)",20 JUL 1998,1259
41,40,21.8,1.3,Abby STEINER,24 NOV 1999,USA,1,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1259
42,40,21.8,0.9,Abby STEINER,24 NOV 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1259
43,40,21.8,-0.9,Shericka JACKSON,16 JUL 1994,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1264
44,45,21.81,-0.1,Valerie BRISCO-HOOKS,06 JUL 1960,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",09 AUG 1984,1258
45,45,21.81,0.4,Merlene OTTEY,10 MAY 1960,JAM,1,Köln (GER),19 AUG 1990,1258
46,45,21.81,-0.6,Gwen TORRENCE,12 JUN 1965,USA,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1261
47,45,21.81,0.0,Gwen TORRENCE,12 JUN 1965,USA,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,1258
48,45,21.81,1.6,Marion JONES,12 OCT 1975,USA,1,"Eugene, OR (USA)",30 MAY 1999,1258
49,45,21.81,1.7,Allyson FELIX,18 NOV 1985,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1258
50,45,21.81,0.8,Christine MBOMA,22 MAY 2003,NAM,2,"National Stadium, Tokyo (JPN)",03 AUG 2021,1258
51,45,21.81,0.6,Shericka JACKSON,16 JUL 1994,JAM,2,"Letzigrund, Zürich (SUI)",09 SEP 2021,1258
52,45,21.81,0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1258
53,54,21.82,1.3,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),18 JUN 1983,1257
54,54,21.82,0.8,Shericka JACKSON,16 JUL 1994,JAM,2,"National Stadium, Kingston (JAM)",27 JUN 2021,1257
55,54,21.82,-0.1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1257
56,57,21.83,-0.2,Evelyn ASHFORD,15 APR 1957,USA,1,"Olympic Stadium, Montréal (CAN)",24 AUG 1979,1257
57,57,21.83,0.5,Merlene OTTEY,10 MAY 1960,JAM,1,Köln (GER),08 SEP 1991,1256
58,59,21.84,-1.1,Evelyn ASHFORD,15 APR 1957,USA,1,Bruxelles (BEL),28 AUG 1981,1261
59,59,21.84,1.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Rostock (GER),26 JUN 1988,1255
60,59,21.84,-1.1,Marion JONES,12 OCT 1975,USA,1,Roodeport (RSA),19 MAR 1999,1261
61,59,21.84,1.1,Christine MBOMA,22 MAY 2003,NAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1255
62,59,21.84,0.4,Christine MBOMA,22 MAY 2003,NAM,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1255
63,59,21.84,0.2,Shericka JACKSON,16 JUL 1994,JAM,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,1255
64,65,21.85,0.3,Bärbel WÖCKEL,21 MAR 1955,GDR,2,Potsdam (GDR),21 JUL 1984,1254
65,65,21.85,1.3,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Indianapolis, IN (USA)",23 JUL 1988,1254
66,65,21.85,-0.8,Gwen TORRENCE,12 JUN 1965,USA,1,"Durham, NC (USA)",12 AUG 1994,1258
67,65,21.85,0.2,Elaine THOMPSON,28 JUN 1992,JAM,1,"Letzigrund, Zürich (SUI)",01 SEP 2016,1254
68,69,21.86,1.0,Gwen TORRENCE,12 JUN 1965,USA,1,Bruxelles (BEL),25 AUG 1995,1252
69,69,21.86,0.2,Dafne SCHIPPERS,15 JUN 1992,NED,2,"Letzigrund, Zürich (SUI)",01 SEP 2016,1252
