"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,14:05.20,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1272
1,2,14:06.62,Letesenbet GIDEY,20 MAR 1998,ETH,1,"Estadio de Atletismo del Turia, Valencia (ESP)",07 OCT 2020,1269
2,3,14:07.94,Letesenbet GIDEY,20 MAR 1998,ETH,2,"Stade Charléty, Paris (FRA)",09 JUN 2023,1266
3,4,14:11.15,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1260
4,5,14:12.59,Almaz AYANA,21 NOV 1991,ETH,1,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1257
5,6,14:12.88,Meseret DEFAR,19 NOV 1983,ETH,1,Stockholm (SWE),22 JUL 2008,1256
6,7,14:12.98,Ejgayehu TAYE,10 FEB 2000,ETH,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1256
7,8,14:13.31,Ejgayehu TAYE,10 FEB 2000,ETH,3,"Stade Charléty, Paris (FRA)",09 JUN 2023,1255
8,9,14:13.32,Gudaf TSEGAY,23 JUN 1997,ETH,1,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1255
9,10,14:14.09,Ejgayehu TAYE,10 FEB 2000,ETH,2,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1254
10,11,14:14.32,Almaz AYANA,21 NOV 1991,ETH,1,"Shanghai Stadium, Shanghai (CHN)",17 MAY 2015,1253
11,12,14:15.24,Senbere TEFERI,03 MAY 1995,ETH,3,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1251
12,13,14:15.41,Genzebe DIBABA,08 FEB 1991,ETH,1,Paris (FRA),04 JUL 2015,1251
13,14,14:16.31,Almaz AYANA,21 NOV 1991,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1249
14,15,14:16.63,Meseret DEFAR,19 NOV 1983,ETH,1,Oslo (NOR),15 JUN 2007,1249
15,16,14:18.37,Hellen OBIRI,13 DEC 1989,KEN,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2017,1245
16,17,14:18.89,Almaz AYANA,21 NOV 1991,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1244
17,18,14:19.76,Genzebe DIBABA,08 FEB 1991,ETH,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1242
