"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,76.8,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Neubrandenburg (GDR),09 JUL 1988,1382
1,2,74.56,Zdeňka ŠILHAVÁ,15 JUN 1954,TCH,1.0,Nitra (TCH),26 AUG 1984,1341
2,2,74.56,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Neubrandenburg (GDR),23 JUL 1989,1341
3,4,74.44,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Berlin (GER),13 SEP 1988,1338
4,5,74.4,Ilke WYLUDDA,28 MAR 1969,GDR,2.0,Berlin (GER),13 SEP 1988,1338
5,6,74.08,Diana GANSKY,14 DEC 1963,GDR,1.0,Karl Marx Stadt (GDR),20 JUN 1987,1332
6,7,73.9,Diana GANSKY,14 DEC 1963,GDR,1.0,Praha (TCH),27 JUN 1987,1328
7,8,73.42,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Karl Marx Stadt (GDR),12 JUN 1988,1319
8,9,73.36,Irina MESZYNSKI,24 MAR 1962,GDR,1.0,Praha (TCH),17 AUG 1984,1318
9,10,73.32,Diana GANSKY,14 DEC 1963,GDR,1.0,Neubrandenburg (GDR),11 JUN 1987,1318
10,11,73.28,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Donetsk (URS),08 SEP 1984,1317
11,12,73.26,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Leselidze (URS),22 MAY 1983,1316
12,12,73.26,Diana GANSKY,14 DEC 1963,GDR,1.0,Neubrandenburg (GDR),06 JUN 1986,1316
13,14,73.24,Diana GANSKY,14 DEC 1963,GDR,1.0,Leipzig (GER),29 MAY 1987,1316
14,15,73.22,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1.0,Kazanlak (BUL),19 APR 1987,1316
15,16,73.16,Ilke WYLUDDA,28 MAR 1969,GDR,,Berlin (GER),13 SEP 1988,1315
16,17,73.1,Gisela BEYER,16 JUL 1960,GDR,1.0,Berlin (GDR),20 JUL 1984,1313
17,18,73.04,Diana GANSKY,14 DEC 1963,GDR,1.0,Potsdam (GDR),06 JUN 1987,1312
18,18,73.04,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Gateshead (GBR),05 AUG 1989,1312
19,20,72.96,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Erfurt (GER),23 JUN 1985,1311
20,21,72.94,Diana GANSKY,14 DEC 1963,GDR,2.0,Neubrandenburg (GDR),09 JUL 1988,1310
21,22,72.92,Martina HELLMANN,12 DEC 1960,GDR,1.0,Potsdam (GDR),20 AUG 1987,1310
22,23,72.78,Martina HELLMANN,12 DEC 1960,GDR,2.0,Neubrandenburg (GDR),11 JUN 1987,1308
23,23,72.78,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Berlin (GER),29 JUN 1988,1308
24,25,72.72,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Neubrandenburg (GDR),23 JUN 1989,1306
