"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:02:52,Letesenbet GIDEY,20 MAR 1998,ETH,1,Valencia (ESP),24 OCT 2021,1281
1,2,1:03:51,Yalemzerf YEHUALAW,03 AUG 1999,ETH,2,Valencia (ESP),24 OCT 2021,1260
2,3,1:04:02,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Istanbul (TUR),04 APR 2021,1256
3,4,1:04:14,Girmawit GEBRZIHAIR,21 NOV 2001,ETH,1,Ras Al Khaimah (UAE),19 FEB 2022,1251
4,5,1:04:22,Hellen OBIRI,13 DEC 1989,KEN,2,Ras Al Khaimah (UAE),19 FEB 2022,1248
5,5,1:04:22,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Larne (GBR),28 AUG 2022,1248
6,7,1:04:31,Ababel YESHANEH,22 JUL 1991,ETH,1,Ras Al Khaimah (UAE),21 FEB 2020,1245
7,8,1:04:36,Sheila CHEPKIRUI,27 DEC 1990,KEN,3,Ras Al Khaimah (UAE),19 FEB 2022,1243
8,9,1:04:37,Irine Jepchumba KIMAIS,10 OCT 1998,KEN,1,Barcelona (ESP),19 FEB 2023,1243
9,10,1:04:40,Yalemzerf YEHUALAW,03 AUG 1999,ETH,2,Istanbul (TUR),04 APR 2021,1242
10,11,1:04:46,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,New Delhi (IND),29 NOV 2020,1240
11,11,1:04:46,Joyciline JEPKOSGEI,08 DEC 1993,KEN,2,Barcelona (ESP),19 FEB 2023,1240
12,13,1:04:48,Hellen OBIRI,13 DEC 1989,KEN,1,Istanbul (TUR),27 MAR 2022,1239
13,14,1:04:49,Brigid KOSGEI,20 FEB 1994,KEN,2,Ras Al Khaimah (UAE),21 FEB 2020,1239
14,15,1:04:51,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1,Valencia (ESP),22 OCT 2017,1238
15,15,1:04:51,Hellen OBIRI,13 DEC 1989,KEN,3,Istanbul (TUR),04 APR 2021,1238
16,17,1:04:52,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1,Praha (CZE),01 APR 2017,1238
17,17,1:04:52,Fancy CHEMUTAI,20 MAR 1995,KEN,1,Ras Al Khaimah (UAE),09 FEB 2018,1238
18,19,1:04:54,Sheila CHEPKIRUI,27 DEC 1990,KEN,3,Valencia (ESP),24 OCT 2021,1237
19,20,1:04:55,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,2,Ras Al Khaimah (UAE),09 FEB 2018,1237
20,21,1:05:01,Tsehay GEMECHU,12 DEC 1998,ETH,2,Larne (GBR),28 AUG 2022,1234
21,22,1:05:02,Sheila CHEPKIRUI,27 DEC 1990,KEN,1,Berlin (GER),03 APR 2022,1234
22,23,1:05:03,Vicoty CHEPNGENO,12 NOV 1993,KEN,1,"Houston, TX (USA)",16 JAN 2022,1234
23,24,1:05:04,Joan Chelimo MELLY,10 NOV 1990,KEN,1,Praha (CZE),07 APR 2018,1233
24,25,1:05:05,Hellen OBIRI,13 DEC 1989,KEN,1,Ras Al Khaimah (UAE),18 FEB 2023,1233
25,26,1:05:06,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,Ras Al Khaimah (UAE),10 FEB 2017,1233
26,26,1:05:06,Ruth CHEPNGETICH,08 AUG 1994,KEN,2,New Delhi (IND),29 NOV 2020,1233
27,28,1:05:07,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KEN,3,Ras Al Khaimah (UAE),09 FEB 2018,1232
