"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,50.68,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1312
1,2,51.41,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1288
2,3,51.46,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"National Stadium, Tokyo (JPN)",04 AUG 2021,1286
3,4,51.58,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"National Stadium, Tokyo (JPN)",04 AUG 2021,1282
4,5,51.61,Sydney MCLAUGHLIN,07 AUG 1999,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",05 JUN 2022,1281
5,6,51.68,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1279
6,7,51.9,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1272
7,8,52.03,Femke BOL,23 FEB 2000,NED,3,"National Stadium, Tokyo (JPN)",04 AUG 2021,1267
8,9,52.16,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1263
9,10,52.17,Sydney MCLAUGHLIN,07 AUG 1999,USA,1sf3,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1263
10,11,52.2,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1262
11,12,52.23,Sydney MCLAUGHLIN,07 AUG 1999,USA,2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1261
12,13,52.27,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1260
13,13,52.27,Femke BOL,23 FEB 2000,NED,2,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1260
14,15,52.3,Femke BOL,23 FEB 2000,NED,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1259
15,16,52.34,Yulia PECHONKINA,21 APR 1978,RUS,1,Tula (RUS),08 AUG 2003,1257
16,17,52.37,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1256
17,18,52.39,Shamier LITTLE,20 MAR 1995,USA,2,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1256
18,19,52.42,Melaine WALKER,01 MAR 1983,JAM,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,1255
19,19,52.42,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1255
20,21,52.43,Femke BOL,23 FEB 2000,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1254
21,22,52.47,Lashinda DEMUS,10 MAR 1983,USA,1,"DS, Daegu (KOR)",01 SEP 2011,1253
22,23,52.61,Kim BATTEN,29 MAR 1969,USA,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,1249
23,23,52.61,Femke BOL,23 FEB 2000,NED,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1249
24,25,52.62,Tonja BUFORD-BAILEY,13 DEC 1970,USA,2,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,1248
25,26,52.63,Lashinda DEMUS,10 MAR 1983,USA,1,"Stade Louis II, Monaco (MON)",28 JUL 2009,1248
