"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,4:12.33,Sifan HASSAN,01 JAN 1993,NED,1,"Stade Louis II, Monaco (MON)",12 JUL 2019,1250
1,2,4:12.56,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,Zürich (SUI),14 AUG 1996,1249
2,3,4:14.30,Genzebe DIBABA,08 FEB 1991,ETH,1,Rovereto (ITA),06 SEP 2016,1235
3,4,4:14.71,Sifan HASSAN,01 JAN 1993,NED,1,"Olympic Stadium, London (GBR)",22 JUL 2018,1232
4,5,4:14.74,Sifan HASSAN,01 JAN 1993,NED,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1232
5,6,4:15.61,Paula IVAN,20 JUL 1963,ROU,1,Nice (FRA),10 JUL 1989,1225
6,7,4:15.8h,Natalya ARTYOMOVA,05 JAN 1963,URS,1,Leningrad (URS),05 AUG 1984,1224
7,8,4:16.05,Genzebe DIBABA,08 FEB 1991,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1222
8,9,4:16.14,Gudaf TSEGAY,23 JUN 1997,ETH,2,"Olympic Stadium, London (GBR)",22 JUL 2018,1221
9,10,4:16.15,Hellen OBIRI,13 DEC 1989,KEN,3,"Olympic Stadium, London (GBR)",22 JUL 2018,1221
10,11,4:16.56,Hellen OBIRI,13 DEC 1989,KEN,1,"Olympic Stadium, London (GBR)",09 JUL 2017,1218
11,12,4:16.71,Mary SLANEY,04 AUG 1958,USA,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,1217
12,12,4:16.71,Faith KIPYEGON,10 JAN 1994,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1217
13,14,4:17.00,Natalya ARTYOMOVA,05 JAN 1963,URS,1,Barcelona (ESP),20 SEP 1991,1215
14,15,4:17.13,Birke HAYLOM,06 JAN 2006,ETH,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1214
15,16,4:17.25,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1213
16,17,4:17.30,Jenny SIMPSON,23 AUG 1986,USA,4,"Olympic Stadium, London (GBR)",22 JUL 2018,1213
17,18,4:17.33,Maricica PUICĂ,29 JUL 1950,ROU,2,"Letzigrund, Zürich (SUI)",21 AUG 1985,1212
18,19,4:17.44,Maricica PUICĂ,29 JUL 1950,ROU,1,Rieti (ITA),16 SEP 1982,1212
19,20,4:17.57,Zola BUDD,26 MAY 1966,GBR,3,"Letzigrund, Zürich (SUI)",21 AUG 1985,1211
20,21,4:17.60,Laura WEIGHTMAN,01 JUL 1991,GBR,2,"Stade Louis II, Monaco (MON)",12 JUL 2019,1210
21,22,4:17.75,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1209
22,23,4:17.87,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,3,"Stade Louis II, Monaco (MON)",12 JUL 2019,1208
23,24,4:18.03,Laura MUIR,09 MAY 1993,GBR,2,"Olympic Stadium, London (GBR)",09 JUL 2017,1207
24,25,4:18.08,Mary TABB,04 AUG 1958,USA,1,Paris (FRA),09 JUL 1982,1207
25,26,4:18.11,Cory Ann MCGEE,29 MAY 1992,USA,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1207
26,27,4:18.13,Doina MELINTE,27 DEC 1956,ROU,1,Oslo (NOR),14 JUL 1990,1206
27,28,4:18.20,Sifan HASSAN,01 JAN 1993,NED,2,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1206
