"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:01:25,Joyciline JEPKOSGEI,08 DEC 1993,KEN,,Praha (CZE),01 APR 2017,1237
1,2,1:01:40,Peres JEPCHIRCHIR,27 SEP 1993,KEN,,Ras Al Khaimah (UAE),10 FEB 2017,1231
2,3,1:01:54,Florence KIPLAGAT,27 FEB 1987,KEN,,Barcelona (ESP),15 FEB 2015,1225
3,4,1:02:57,Lornah KIPLAGAT,01 MAY 1974,NED,,Udine (ITA),14 OCT 2007,1202
4,5,1:03:21,Lornah KIPLAGAT,01 MAY 1974,NED,1.0,Debrecen (HUN),08 OCT 2006,1193
5,6,1:03:23,Constantina DITA-TOMESCU,23 JAN 1970,ROU,2.0,Debrecen (HUN),08 OCT 2006,1192
6,7,1:03:47,Rita Jeptoo SITIENEI,15 FEB 1981,KEN,3.0,Debrecen (HUN),08 OCT 2006,1183
7,8,1:03:54,Lornah KIPLAGAT,01 MAY 1974,KEN,1.0,Alphen aan den Rijn (NED),11 MAR 2001,1180
8,9,1:04:01,Esther Wanjiru MAINA,27 MAR 1977,KEN,1.0,Kobe (JPN),17 DEC 2000,1178
9,10,1:04:29,Keira D'AMATO,21 OCT 1984,USA,1.0,"New Haven, CT (USA)",05 SEP 2022,1167
10,11,1:04:35,Emily SISSON,12 OCT 1991,USA,2.0,"New Haven, CT (USA)",05 SEP 2022,1165
11,12,1:05:03,Sarah CHEPCHIRCHIR,27 JUL 1984,KEN,1.0,Paris (FRA),13 OCT 2013,1155
12,13,1:05:08,Cynthia JEROTICH,18 DEC 1989,KEN,2.0,Paris (FRA),13 OCT 2013,1153
13,14,1:05:11,Xiuting WANG,16 FEB 1965,CHN,1.0,Miyazaki (JPN),06 JAN 1993,1152
14,14,1:05:11,Colleen DE REUCK,13 APR 1964,RSA,1.0,"New Haven, CT (USA)",07 SEP 1998,1152
15,16,1:05:16,Joyce CHEPCHUMBA,06 NOV 1970,KEN,1.0,Alphen aan den Rijn (NED),12 MAR 2000,1150
16,16,1:05:16,Dire TUNE,19 JUN 1985,ETH,4.0,Debrecen (HUN),08 OCT 2006,1150
17,18,1:05:21,Edith MASAI,04 APR 1967,KEN,5.0,Debrecen (HUN),08 OCT 2006,1148
18,19,1:05:27,Constantina DITA-TOMESCU,23 JAN 1970,ROU,1.0,Turnu-Severein (ROU),12 AUG 2006,1146
19,20,1:05:28,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,1.0,Paris (FRA),22 OCT 2000,1145
20,21,1:05:30,Mirriam WANGARI,22 FEB 1979,KEN,1.0,Paris (FRA),11 OCT 2009,1145
21,22,1:05:32,Kayoko FUKUSHI,25 MAR 1982,JPN,6.0,Debrecen (HUN),08 OCT 2006,1144
22,23,1:05:36,Yurika NAKAMURA,01 APR 1986,JPN,7.0,Debrecen (HUN),08 OCT 2006,1142
23,23,1:05:36,Cynthia JEROTICH,18 DEC 1989,KEN,1.0,Paris (FRA),14 OCT 2012,1142
24,25,1:05:38,Megumi FUJIWARA,19 JUN 1969,JPN,2.0,Miyazaki (JPN),06 JAN 1993,1142
25,26,1:05:42,Nataliya BERKUT,30 MAY 1975,UKR,8.0,Debrecen (HUN),08 OCT 2006,1140
26,26,1:05:42,Elvan ABEYLEGESSE,11 SEP 1982,TUR,2.0,Paris (FRA),14 OCT 2012,1140
27,28,1:05:44,Katunge Agnes MUTUNE,26 JUN 1986,KEN,2.0,Paris (FRA),11 OCT 2009,1139
28,29,1:05:47,Aliphine Chepkerker TULIAMUK,05 APR 1989,USA,1.0,"New Haven, CT (USA)",05 SEP 2016,1138
29,30,1:05:51,Ruth Jepkoech KUTOL,16 MAY 1973,KEN,1.0,Almeirim (POR),22 JAN 2001,1137
30,30,1:05:51,Rose CHELIMO,12 JUL 1989,KEN,1.0,Paris (FRA),12 OCT 2014,1137
31,32,1:05:52,Marla RUNYAN,04 JAN 1969,USA,1.0,"New Haven, CT (USA)",01 SEP 2003,1137
32,33,1:05:53,Colleen DE REUCK,13 APR 1964,USA,2.0,"New Haven, CT (USA)",01 SEP 2003,1136
33,34,1:05:58,Edith CHELIMO,16 JUL 1986,KEN,1.0,Cassis (FRA),29 OCT 2017,1134
34,35,1:06:02,Nancy Chepngetich KIMAIYO,1984,KEN,1.0,Paris (FRA),11 OCT 2015,1133
35,35,1:06:02,Gebeyanesh AYELE,01 MAY 1995,ETH,1.0,Paris (FRA),08 OCT 2017,1133
36,37,1:06:03,Emily SISSON,12 OCT 1991,USA,2.0,"New Haven, CT (USA)",05 SEP 2016,1132
37,38,1:06:06,Stine LARSEN,05 NOV 1975,NOR,2.0,Alphen aan den Rijn (NED),12 MAR 2000,1131
38,39,1:06:07,Sarah CHEPCHIRCHIR,27 JUL 1984,KEN,1.0,Paris (FRA),09 OCT 2011,1131
39,40,1:06:11,Souad AIT SALEM,06 JAN 1979,ALG,9.0,Debrecen (HUN),08 OCT 2006,1130
40,41,1:06:12,Guixia ZHENG,24 JUN 1973,CHN,2.0,Kobe (JPN),17 DEC 2000,1129
41,42,1:06:13,Gladys KIPSOI,21 MAR 1986,KEN,3.0,Paris (FRA),13 OCT 2013,1129
42,43,1:06:15,Mihaela Maria BOTEZAN-PRUNDUS,21 NOV 1976,ROU,2.0,Paris (FRA),22 OCT 2000,1128
43,43,1:06:15,Miyuki NISHIMURA,16 APR 1980,JPN,3.0,Kobe (JPN),17 DEC 2000,1128
44,43,1:06:15,Teyba ERKESSO,30 OCT 1982,ETH,10.0,Debrecen (HUN),08 OCT 2006,1128
45,46,1:06:16,Mirriam WANGARI,22 FEB 1979,KEN,2.0,Paris (FRA),09 OCT 2011,1128
46,46,1:06:16,Susan JEPTOOO,07 MAR 1987,KEN,2.0,Paris (FRA),08 OCT 2017,1128
47,48,1:06:20,Anikó KÁLOVICS,13 MAY 1977,HUN,11.0,Debrecen (HUN),08 OCT 2006,1126
48,48,1:06:20,Erika KEMP,26 JAN 1995,USA,1.0,"New Haven, CT (USA)",06 SEP 2021,1126
