"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,8:58.58,Meseret DEFAR,19 NOV 1983,ETH,1.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1238
1,2,8:59.08,Francine NIYONSABA,05 MAY 1993,BDI,1.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1236
2,3,9:00.75,Francine NIYONSABA,05 MAY 1993,BDI,1.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1231
3,4,9:06.74,Letesenbet GIDEY,20 MAR 1998,ETH,2.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1211
4,5,9:10.47,Meseret DEFAR,19 NOV 1983,ETH,1.0,"Carson, CA (USA)",20 MAY 2007,1199
5,6,9:11.49,Mercy CHERONO,07 MAY 1991,KEN,1.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1196
6,7,9:12.59,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1193
7,8,9:12.90,Irene JELAGAT,10 DEC 1988,KEN,3.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1192
8,9,9:13.27,Mercy CHERONO,07 MAY 1991,KEN,1.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1190
9,10,9:13.48,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1190
10,11,9:13.85,Mimi BELETE,09 JUN 1988,BRN,3.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1189
11,12,9:14.09,Priscah Jepleting CHERONO,27 JUN 1980,KEN,2.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1188
12,13,9:14.28,Genzebe DIBABA,08 FEB 1991,ETH,4.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1187
13,14,9:14.55,Hellen OBIRI,13 DEC 1989,KEN,3.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1186
14,15,9:14.71,Beatrice CHEBET,05 MAR 2000,KEN,2.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1186
15,16,9:15.74,Laura GALVÁN,05 OCT 1991,MEX,3.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1182
16,17,9:16.62,Sylvia Jebiwot KIBET,28 MAR 1984,KEN,3.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1180
17,18,9:16.73,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,4.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1179
18,19,9:16.78,Jenny SIMPSON,23 AUG 1986,USA,1.0,"Des Moines, IA (USA)",27 APR 2018,1179
19,20,9:16.95,Betsy SAINA,30 JUN 1988,KEN,5.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1179
20,21,9:17.62,Helen SCHLACHTENHAUFEN,14 MAR 1995,USA,5.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1176
21,22,9:18.16,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,4.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1175
22,23,9:18.26,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,4.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1174
23,24,9:18.73,Elly HENES,13 OCT 1998,USA,6.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1173
24,25,9:19.01,Edinah JEBITOK,10 NOV 2001,KEN,7.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1172
25,26,9:19.56,Sonia O'SULLIVAN,28 NOV 1969,IRL,1.0,Cork City (IRL),27 JUN 1998,1170
26,27,9:20.17,Eleanor FULTON,17 MAY 1993,USA,8.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1168
27,28,9:20.19,Whittni MORGAN,22 OCT 1997,USA,9.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1168
28,29,9:20.25,Shannon ROWBURY,19 SEP 1984,USA,4.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1168
29,30,9:20.81,Alemitu HAROYE,09 MAY 1995,ETH,6.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1166
30,31,9:21.35,Amy RUDOLPH,18 SEP 1973,USA,2.0,Cork City (IRL),27 JUN 1998,1165
31,32,9:21.98,Amy-Eloise MARKOVC,05 AUG 1995,GBR,5.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1163
32,33,9:22.10,Sally KIPYEGO,19 DEC 1985,KEN,5.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1162
33,34,9:22.44,Elise CRANNY,09 MAY 1996,USA,6.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1161
34,35,9:22.89,Jessica AUGUSTO,08 NOV 1981,POR,5.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1160
35,36,9:23.32,Belaynesh OLJIRA,26 JUN 1990,ETH,6.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1158
36,37,9:23.52,Susan KUIJKEN,08 JUL 1986,NED,7.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1158
37,38,9:24.89,Margaret Wangari MURIUKI,21 MAR 1986,KEN,7.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1153
38,39,9:26.63,Betsy SAINA,30 JUN 1988,KEN,8.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1148
39,40,9:27.18,Kathy BUTLER,22 OCT 1973,CAN,3.0,Cork City (IRL),27 JUN 1998,1146
40,41,9:28.80,Renata PLIŚ,05 FEB 1985,POL,8.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1141
41,42,9:29.6h,Zola BUDD,26 MAY 1966,GBR,,London (GBR),09 JUN 1985,1139
42,43,9:30.39,Clémence CALVIN,17 MAY 1990,FRA,9.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1136
43,44,9:31.89,Rachel SCHNEIDER,18 JUL 1991,USA,2.0,"Des Moines, IA (USA)",27 APR 2018,1131
44,45,9:32.07,Paula RADCLIFFE,17 DEC 1973,GBR,1.0,Loughborough (GBR),23 MAY 1999,1131
45,46,9:32.82,Brenda MARTINEZ,08 SEP 1987,USA,3.0,"Des Moines, IA (USA)",27 APR 2018,1129
46,47,9:32.99,Nadia BATTOCLETTI,12 APR 2000,ITA,1.0,"Arena Civica, Milano (ITA)",23 APR 2022,1128
47,48,9:33.47,Maryam Yusuf JAMAL,16 SEP 1984,BRN,10.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1126
48,49,9:35.04,Yuko KAWAKAMI,01 AUG 1975,JPN,4.0,Cork City (IRL),27 JUN 1998,1122
49,50,9:35.05,Jordan HASAY,21 SEP 1991,USA,9.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1122
50,51,9:35.67,Danielle JONES,21 AUG 1996,USA,10.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1120
51,52,9:35.89,Deena KASTOR,14 FEB 1973,USA,1.0,"Walnut, CA (USA)",19 APR 2002,1119
52,53,9:37.04,Megan WRIGHT,27 JAN 1982,CAN,2.0,"Carson, CA (USA)",20 MAY 2007,1115
53,54,9:37.86,Stephanie GARCIA,03 MAY 1988,USA,4.0,"Des Moines, IA (USA)",27 APR 2018,1113
54,55,9:38.39,Helen CLITHEROE,02 JAN 1974,GBR,6.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1111
55,56,9:38.44,Fatima AOUAM,16 DEC 1959,MAR,1.0,Padova (ITA),13 SEP 1987,1111
56,57,9:38.92,Una ENGLISH,14 AUG 1970,IRL,5.0,Cork City (IRL),27 JUN 1998,1110
57,58,9:40.01,Buze DIRIBA,09 FEB 1994,ETH,10.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1106
58,59,9:40.04,Maryam Yusuf JAMAL,16 SEP 1984,BRN,11.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1106
59,60,9:40.44,Ella DONAGHU,13 APR 1998,USA,11.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1105
60,61,9:40.82,Katie WASSERMAN,08 APR 1998,USA,7.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1104
61,62,9:40.86,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KEN,8.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1104
62,63,9:41.11,Taryn RAWLINGS,17 APR 1996,USA,12.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1103
63,64,9:41.32,Kara GOUCHER,09 JUL 1978,USA,3.0,"Carson, CA (USA)",20 MAY 2007,1102
64,65,9:41.36,Annemari SANDELL,02 JAN 1977,FIN,1.0,Tornio (FIN),08 JUN 1996,1102
65,66,9:41.45,Megumi TANAKA-OSHIMA,04 SEP 1975,JPN,6.0,Cork City (IRL),27 JUN 1998,1102
66,67,9:41.76,Gabriele GRUNEWALD,25 JUN 1986,USA,11.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1101
67,68,9:41.79,Katie RAINSBERGER,18 AUG 1998,USA,9.0,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1101
68,69,9:42.23,Renata PLIŚ,05 FEB 1985,POL,12.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1099
69,70,9:42.44,Wakana KABASAWA,24 MAR 1999,JPN,1.0,"National Stadium, Tokyo (JPN)",22 APR 2023,1099
70,71,9:42.51,Chelsea SODARO,09 MAY 1989,USA,13.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1098
71,72,9:42.99,Nnenna LYNCH,03 JUL 1971,USA,7.0,Cork City (IRL),27 JUN 1998,1097
72,73,9:43.22,Emelia GORECKA,29 JAN 1994,GBR,12.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1096
73,74,9:43.53,Georgie CLARKE,17 JUN 1984,AUS,4.0,"Carson, CA (USA)",20 MAY 2007,1095
74,75,9:44.2h,Francie LARRIEU-SMITH,23 NOV 1952,USA,1.0,San José (USA),01 AUG 1972,1093
75,76,9:44.46,Laura THWEATT,17 DEC 1988,USA,14.0,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1092
76,77,9:44.61,Elisa REA,23 MAR 1968,ITA,1.0,Torino (ITA),24 JUN 1997,1092
77,78,9:45.77,Lucilla ANDREUCCI,19 DEC 1969,ITA,2.0,Torino (ITA),24 JUN 1997,1088
78,79,9:47.38,Luminita ZAITUC,09 OCT 1968,GER,1.0,Aachen (GER),25 AUG 1996,1084
79,80,9:47.85,Maria CURATOLO,12 OCT 1963,ITA,1.0,Formia (ITA),11 JUL 1987,1082
80,81,9:47.88,Amy RUDOLPH,18 SEP 1973,USA,5.0,"Carson, CA (USA)",20 MAY 2007,1082
81,82,9:48.10,Yekaterina PODKOPAYEVA,11 JUN 1952,RUS,2.0,Aachen (GER),25 AUG 1996,1081
82,83,9:48.67,Silvia SOMMAGGIO,20 NOV 1969,ITA,3.0,Torino (ITA),24 JUN 1997,1080
83,84,9:49.09,Nicole TETER,08 NOV 1973,USA,2.0,"Walnut, CA (USA)",19 APR 2002,1078
84,85,9:49.31,Olga CHURBANOVA,16 JUL 1965,RUS,3.0,Aachen (GER),25 AUG 1996,1078
85,86,9:49.32,Mardrea HYMAN,22 DEC 1972,JAM,3.0,"Walnut, CA (USA)",19 APR 2002,1078
86,87,9:49.33,Yuan JIN,11 FEB 1988,CHN,6.0,"Carson, CA (USA)",20 MAY 2007,1078
87,88,9:49.62,Sarah YOUNG-WILKINSON,02 JAN 1970,GBR,8.0,Cork City (IRL),27 JUN 1998,1077
88,89,9:49.73,Hayley PARRY-TULLETT,17 FEB 1973,GBR,2.0,Loughborough (GBR),23 MAY 1999,1076
89,90,9:49.74,Gladys ONDEYO,10 MAY 1975,KEN,2.0,Turku (FIN),20 JUL 1993,1076
90,91,9:49.75,Laura WHITTLE,27 JUN 1985,GBR,13.0,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1076
91,92,9:49.93,Veerle DEJAEGHERE,01 AUG 1973,BEL,7.0,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1076
