"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,5.06,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,1290
1,2,5.05,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"National Stadium, Beijing (CHN)",18 AUG 2008,1286
2,3,5.04,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade Louis II, Monaco (MON)",29 JUL 2008,1283
3,4,5.03,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1280
4,5,5.01,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1274
5,5,5.01,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1274
6,7,5.0,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",22 JUL 2005,1271
7,7,5.0,Sandi MORRIS,08 JUL 1992,USA,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1271
8,9,4.96,Yelena ISINBAYEVA,03 JUN 1982,RUS,,"Crystal Palace, London (GBR)",22 JUL 2005,1258
9,10,4.95,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Madrid (ESP),16 JUL 2005,1255
10,10,4.95,Sandi MORRIS,08 JUL 1992,USA,1,"Greenville, SC (USA)",27 JUL 2018,1255
11,10,4.95,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1255
12,10,4.95,Katie NAGEOTTE,13 JUN 1991,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1255
13,14,4.94,Eliza MCCARTNEY,11 DEC 1996,NZL,1f1,Jockgrim (GER),17 JUL 2018,1252
14,15,4.93,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1249
15,15,4.93,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1249
16,15,4.93,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",25 JUL 2008,1249
17,15,4.93,Sandi MORRIS,08 JUL 1992,USA,1,"Houston, TX (USA)",23 JUL 2016,1249
18,15,4.93,Jennifer SUHR,05 FEB 1982,USA,1f2,"Austin, TX (USA)",14 APR 2018,1249
19,15,4.93,Katie NAGEOTTE,13 JUN 1991,USA,1,"Marietta HS, Marietta, GA (USA)",23 MAY 2021,1249
20,21,4.92,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1245
21,21,4.92,Jennifer SUHR,05 FEB 1982,USA,1,"Eugene, OR (USA)",06 JUL 2008,1245
22,21,4.92,Eliza MCCARTNEY,11 DEC 1996,NZL,1,Mannheim (GER),23 JUN 2018,1245
23,21,4.92,Katie NAGEOTTE,13 JUN 1991,USA,1,"Life University Track & Field Stadium, Marietta, GA (USA)",01 AUG 2020,1245
24,25,4.91,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1242
25,25,4.91,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",28 JUL 2006,1242
26,25,4.91,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,Paris (FRA),06 JUL 2007,1242
27,25,4.91,Jennifer SUHR,05 FEB 1982,USA,1,"Rochester, NY (USA)",26 JUL 2011,1242
28,25,4.91,Jennifer SUHR,05 FEB 1982,USA,1,"Lyndonville, NY (USA)",14 JUN 2013,1242
29,25,4.91,Yarisley SILVA,01 JUN 1987,CUB,1f1,Beckum (GER),02 AUG 2015,1242
30,25,4.91,Aikaterini STEFANIDI,04 FEB 1990,GRE,1,"Olympic Stadium, London (GBR)",06 AUG 2017,1242
31,25,4.91,Jennifer SUHR,05 FEB 1982,USA,1,"Austin, TX (USA)",30 MAR 2019,1242
32,25,4.91,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1242
33,25,4.91,Anzhelika SIDOROVA,28 JUN 1991,ANA,1,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1242
34,35,4.9,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Crystal Palace, London (GBR)",30 JUL 2004,1239
35,35,4.9,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1239
36,35,4.9,Yelena ISINBAYEVA,03 JUN 1982,RUS,1,"Stadio Olimpico, Roma (ITA)",13 JUL 2007,1239
