"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,10.49,0.0,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf1,"Indianapolis, IN (USA)",16 JUL 1988,1314
1,2,10.54,0.9,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1302
2,3,10.6,1.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1289
3,4,10.61,1.2,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Indianapolis, IN (USA)",17 JUL 1988,1286
4,4,10.61,-0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Tokyo (JPN)",31 JUL 2021,1289
5,6,10.62,1.0,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf3,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1284
6,6,10.62,0.4,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1284
7,8,10.63,1.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1f1,"National Stadium, Kingston (JAM)",05 JUN 2021,1282
8,9,10.64,1.2,Carmelita JETER,24 NOV 1979,USA,1,Shanghai (CHN),20 SEP 2009,1280
9,9,10.64,1.7,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1280
10,11,10.65,1.1,Marion JONES,12 OCT 1975,USA,1,"SGJ, Johannesburg (RSA)",12 SEP 1998,1277
11,11,10.65,0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1277
12,11,10.65,-0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1281
13,14,10.66,0.5,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,1275
14,15,10.67,-0.1,Carmelita JETER,24 NOV 1979,USA,1,Thessaloniki (GRE),13 SEP 2009,1273
15,15,10.67,-0.4,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1275
16,15,10.67,0.5,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Charléty, Paris (FRA)",18 JUN 2022,1273
17,15,10.67,0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1273
18,15,10.67,1.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1273
19,20,10.7,1.6,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1sf1,"Indianapolis, IN (USA)",17 JUL 1988,1266
20,20,10.7,-0.1,Marion JONES,12 OCT 1975,USA,1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1266
21,20,10.7,2.0,Carmelita JETER,24 NOV 1979,USA,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1266
22,20,10.7,0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,Kingston (JAM),29 JUN 2012,1266
23,20,10.7,0.3,Elaine THOMPSON,28 JUN 1992,JAM,1,Kingston (JAM),01 JUL 2016,1266
24,20,10.7,1.1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1h2,"National Stadium, Kingston (JAM)",23 JUN 2022,1266
25,26,10.71,0.1,Marion JONES,12 OCT 1975,USA,1,Chengdu (CHN),12 MAY 1998,1264
26,26,10.71,2.0,Marion JONES,12 OCT 1975,USA,sf,"New Orleans, LA (USA)",19 JUN 1998,1264
27,26,10.71,-0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",12 AUG 2013,1265
28,26,10.71,0.5,Elaine THOMPSON,28 JUN 1992,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016,1264
29,26,10.71,0.8,Elaine THOMPSON,28 JUN 1992,JAM,1,Kingston (JAM),23 JUN 2017,1264
30,26,10.71,0.1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1264
31,26,10.71,1.0,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"National Stadium, Kingston (JAM)",25 JUN 2021,1264
32,26,10.71,0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1264
33,26,10.71,0.4,Shericka JACKSON,16 JUL 1994,JAM,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,1264
34,35,10.72,2.0,Marion JONES,12 OCT 1975,USA,1,"New Orleans, LA (USA)",20 JUN 1998,1262
35,35,10.72,0.0,Marion JONES,12 OCT 1975,USA,1,"Stade Louis II, Monaco (MON)",08 AUG 1998,1262
36,35,10.72,0.0,Marion JONES,12 OCT 1975,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 1998,1262
37,35,10.72,-0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1263
38,35,10.72,0.6,Elaine THOMPSON,28 JUN 1992,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1262
39,35,10.72,1.6,Sha'Carri RICHARDSON,25 MAR 2000,USA,1f2,"Ansin Sports Complex, Miramar, FL (USA)",10 APR 2021,1262
40,35,10.72,1.3,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Stade Charléty, Paris (FRA)",28 AUG 2021,1262
41,35,10.72,0.4,Marie-Josée TA LOU,18 NOV 1988,CIV,3,"Stade Louis II, Monaco (MON)",10 AUG 2022,1262
42,43,10.73,2.0,Christine ARRON,13 SEP 1973,FRA,1,"Népstadion, Budapest (HUN)",19 AUG 1998,1259
43,43,10.73,0.1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Olympiastadion, Berlin (GER)",17 AUG 2009,1259
44,43,10.73,0.6,Elaine THOMPSON,28 JUN 1992,JAM,1,Kingston (JAM),21 JUN 2019,1259
45,43,10.73,0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,Kingston (JAM),21 JUN 2019,1259
46,43,10.73,0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1sf3,"National Stadium, Tokyo (JPN)",31 JUL 2021,1259
47,43,10.73,0.9,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1259
48,43,10.73,0.8,Shericka JACKSON,16 JUL 1994,JAM,2,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1259
49,43,10.73,0.6,Shericka JACKSON,16 JUL 1994,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1259
50,51,10.74,1.3,Merlene OTTEY,10 MAY 1960,JAM,1,"Arena Civica, Milano (ITA)",07 SEP 1996,1257
51,51,10.74,0.2,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,Paris (FRA),04 JUL 2015,1257
52,51,10.74,1.0,English GARDNER,22 APR 1992,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1257
53,51,10.74,0.2,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1257
54,51,10.74,1.1,Sha'Carri RICHARDSON,25 MAR 2000,USA,1h1,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1257
55,51,10.74,-0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"National Stadium, Tokyo (JPN)",31 JUL 2021,1260
56,51,10.74,0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1257
57,58,10.75,0.6,Marion JONES,12 OCT 1975,USA,1,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1255
58,58,10.75,0.4,Kerron STEWART,16 APR 1984,JAM,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1255
59,58,10.75,0.1,Kerron STEWART,16 APR 1984,JAM,2,"Olympiastadion, Berlin (GER)",17 AUG 2009,1255
60,58,10.75,1.5,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Olympic Stadium, London (GBR)",04 AUG 2012,1255
61,58,10.75,1.6,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Austin, TX (USA)",08 JUN 2019,1255
62,58,10.75,0.9,Marie-Josée TA LOU,18 NOV 1988,CIV,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1255
63,64,10.76,1.7,Evelyn ASHFORD,15 APR 1957,USA,1,Zürich (SUI),22 AUG 1984,1253
64,64,10.76,0.9,Marion JONES,12 OCT 1975,USA,1,Bruxelles (BEL),22 AUG 1997,1253
65,64,10.76,0.3,Marion JONES,12 OCT 1975,USA,1qf4,"La Cartuja, Sevilla (ESP)",21 AUG 1999,1253
66,64,10.76,1.1,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,"Mestský Stadion, Ostrava (CZE)",31 MAY 2011,1253
67,64,10.76,-0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"National Stadium, Beijing (CHN)",24 AUG 2015,1254
68,64,10.76,-0.6,Shericka JACKSON,16 JUL 1994,JAM,3,"National Stadium, Tokyo (JPN)",31 JUL 2021,1256
69,64,10.76,0.0,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1sf1,"National Stadium, Tokyo (JPN)",31 JUL 2021,1253
70,64,10.76,0.9,Shericka JACKSON,16 JUL 1994,JAM,3,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1253
71,64,10.76,0.9,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1253
72,73,10.77,0.9,Irina PRIVALOVA,22 NOV 1968,RUS,1f2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1251
73,73,10.77,-0.9,Marion JONES,12 OCT 1975,USA,1f1,Zürich (SUI),12 AUG 1998,1256
74,73,10.77,0.7,Ivet LALOVA-COLLIO,18 MAY 1984,BUL,1,Plovdiv (BUL),19 JUN 2004,1251
75,73,10.77,0.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1h1,"Olympic Stadium, London (GBR)",27 JUL 2013,1251
76,73,10.77,-1.2,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1258
77,73,10.77,0.9,Shericka JACKSON,16 JUL 1994,JAM,1sf1,"National Stadium, Kingston (JAM)",25 JUN 2021,1251
78,73,10.77,0.9,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",24 JUN 2022,1251
79,80,10.78,1.0,Dawn SOWELL,27 MAR 1966,USA,1,"Provo, UT (USA)",03 JUN 1989,1248
