"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,20:01.80,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Misterbianco (ITA),18 MAY 2014,1219
1,2,20:02.60,Gillian O'SULLIVAN,21 AUG 1976,IRL,1,Dublin (IRL),13 JUL 2002,1218
2,3,20:03.00,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),11 FEB 1996,1217
3,4,20:07.52,Beate ANDERS,04 FEB 1968,GDR,1,Rostock (GER),23 JUN 1990,1212
4,5,20:11.45,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,"Wattenscheid, Bochum (GER)",02 JUL 2005,1207
5,6,20:12.41,Elisabetta PERRONE,09 JUL 1968,ITA,1,Rieti (ITA),02 AUG 2003,1206
6,7,20:13.26,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Hobart (AUS),25 FEB 1996,1205
7,8,20:15.71,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,Kyiv (UKR),04 JUN 2014,1201
8,9,20:17.19,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),14 JAN 1990,1200
9,10,20:17.35,Jemima MONTAG,15 FEB 1998,AUS,1,"Lakeside Stadium, Melbourne (AUS)",26 FEB 2022,1199
10,11,20:18.87,Melanie SEEGER,08 JAN 1977,GER,1,Braunschweig (GER),10 JUL 2004,1198
11,12,20:21.69,Annarita SIDOTI,25 JUL 1969,ITA,1,Cesenatico (ITA),01 JUL 1995,1194
12,13,20:25.2h,Ileana SALVADOR,16 JAN 1962,ITA,1,Barcelona (ESP),05 APR 1992,1190
13,14,20:27.47,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,2,Braunschweig (GER),10 JUL 2004,1187
14,15,20:27.59,Ileana SALVADOR,16 JAN 1962,ITA,1,Trento (ITA),03 JUN 1989,1187
15,16,20:28.05,Tatyana KALMYKOVA,10 JAN 1990,RUS,1,Ostrava (CZE),12 JUL 2007,1186
16,17,20:28.17,María PÉREZ,29 APR 1996,ESP,1,Andújar (ESP),30 APR 2022,1186
17,18,20:28.62,Sari ESSAYAH,21 FEB 1967,FIN,1,Tuusula (FIN),09 JUL 1994,1185
18,19,20:30.0h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Brisbane (AUS),06 MAR 1993,1184
19,20,20:30.04,Júlia TAKÁCS,29 JUN 1989,ESP,1,Cáceres (ESP),02 JUL 2014,1184
20,21,20:31.4h,Irina STANKINA,25 MAR 1977,RUS,1,"Adler, Sochi (RUS)",10 FEB 1996,1182
21,22,20:31.46,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,"Campo XXV Aprile, Milano (ITA)",22 APR 2016,1182
22,23,20:32.75,Kerry SAXBY,02 JUN 1961,AUS,1,Brisbane (AUS),19 MAR 1989,1180
23,24,20:33.21,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),10 FEB 1995,1180
24,25,20:33.42,Elisabetta PERRONE,09 JUL 1968,ITA,2,Cesenatico (ITA),01 JUL 1995,1179
25,26,20:34.76,Sari ESSAYAH,21 FEB 1967,FIN,1,Kokemäki (FIN),03 JUL 1994,1178
26,26,20:34.76,Hong LIU,12 MAY 1987,CHN,1,Tianjin (CHN),16 SEP 2012,1178
27,28,20:36.2h,Irina PETROVA,25 MAY 1985,RUS,1,Saransk (RUS),19 JUN 2005,1176
28,29,20:36.31,María PÉREZ,29 APR 1996,ESP,1,"Estadio Vallehermoso, Madrid (ESP)",11 JUN 2023,1176
29,30,20:36.96,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),03 DEC 1989,1175
30,31,20:37.7h,Bingjie JIN,03 JUN 1971,CHN,1,Hefei (CHN),03 MAR 1990,1174
31,32,20:37.83,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,"Stadion, Førde (NOR)",08 SEP 2001,1174
32,33,20:38.0h,Yueling CHEN,01 APR 1968,CHN,2,Hefei (CHN),03 MAR 1990,1174
33,34,20:38.14,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),20 FEB 1993,1174
34,35,20:38.16,María PÉREZ,29 APR 1996,ESP,1,Granollers (ESP),14 JUL 2018,1174
35,36,20:38.2h,Olga KANISKINA,19 JAN 1985,RUS,2,Saransk (RUS),19 JUN 2005,1174
36,37,20:38.65,Sari ESSAYAH,21 FEB 1967,FIN,1,Mikkeli (FIN),31 JUL 1993,1173
37,38,20:40.06,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),20 FEB 1994,1171
38,39,20:40.24,Susana FEITOR,28 JAN 1975,POR,1,Rio Maior (POR),09 MAY 2001,1171
39,40,20:40.3h,Tatyana KOROLYOVA,1982,RUS,3,Saransk (RUS),19 JUN 2005,1171
40,41,20:40.6h,Olga KARDOPOLTSEVA,11 SEP 1966,URS,1,Alushta (URS),05 MAY 1990,1171
41,42,20:41.47,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcorcón (ESP),12 JUL 2014,1169
42,43,20:42.25,Kumiko OKADA,17 OCT 1991,JPN,1,Kumagaya (JPN),19 MAY 2019,1169
43,44,20:42.31,Ileana SALVADOR,16 JAN 1962,ITA,1,Bologna (ITA),23 JUN 1992,1168
44,45,20:42.67,Shijie QIEYANG,11 NOV 1990,CHN,2,Tianjin (CHN),16 SEP 2012,1168
45,46,20:42.9h,Irina PUDOVKINA,11 FEB 1980,RUS,4,Saransk (RUS),19 JUN 2005,1168
46,47,20:44.02,Sari ESSAYAH,21 FEB 1967,FIN,1,Helsinki (FIN),28 JUL 1991,1166
47,48,20:44.2h,Elisabetta PERRONE,09 JUL 1968,ITA,1,Voghera (ITA),13 APR 1995,1166
48,49,20:45.03,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,"SIAC Homebush, Sydney (AUS)",11 MAR 1994,1165
49,50,20:45.11,Beatriz PASCUAL,09 MAY 1982,ESP,1,Granollers (ESP),18 JUL 2012,1165
50,51,20:45.32,Kerry SAXBY,02 JUN 1961,AUS,1,Perth (AUS),27 MAR 1988,1165
51,52,20:45.6h,Ileana SALVADOR,16 JAN 1962,ITA,1,Torino (ITA),23 MAY 1992,1164
52,53,20:46.12,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Milano (ITA),24 APR 2013,1164
53,54,20:46.23,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Kristiansand (NOR),20 AUG 2000,1164
54,55,20:46.58,Johanna JACKSON,17 JAN 1985,GBR,1,Sydney (AUS),14 FEB 2009,1163
55,56,20:46.60,Valentina SAVCHUK,19 JAN 1975,UKR,1,Uzhgorod (UKR),09 MAY 2001,1163
56,57,20:46.9h,Annarita SIDOTI,25 JUL 1969,ITA,1,Messina (ITA),16 APR 1994,1163
57,58,20:46.91,Beate ANDERS,04 FEB 1968,GDR,1,Dresden (GER),19 AUG 1990,1163
58,59,20:48.11,Rossella GIORDANO,01 DEC 1972,ITA,1,Roma (ITA),10 MAY 1997,1161
59,60,20:48.3h,Natalya SHIVIREVA,31 AUG 1978,RUS,5,Saransk (RUS),19 JUN 2005,1161
60,61,20:48.55,Ileana SALVADOR,16 JAN 1962,ITA,1,Bologna (ITA),02 AUG 1993,1161
61,62,20:48.75,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,Uherské Hradiste (CZE),26 AUG 2018,1161
62,63,20:49.1h,Yueling CHEN,01 APR 1968,CHN,1,Zhengzhou (CHN),03 MAR 1991,1160
63,64,20:49.39,Elisabetta PERRONE,09 JUL 1968,ITA,1,Napoli (ITA),03 JUL 1994,1160
64,65,20:49.70,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Tendo (JPN),16 MAY 2009,1159
65,66,20:50.03,Ileana SALVADOR,16 JAN 1962,ITA,1,Macerata (ITA),06 SEP 1989,1159
66,66,20:50.03,Chahinez NASRI,03 JUN 1996,TUN,1,"Stadion Radés, Radés (TUN)",23 JUN 2021,1159
67,68,20:50.3h,Yiaoling FAN,14 MAY 1971,CHN,2,Zhengzhou (CHN),03 MAR 1991,1159
68,69,20:50.57,Kerry SAXBY,02 JUN 1961,AUS,1,Canberra (AUS),05 NOV 1989,1158
69,70,20:50.60,Alina IVANOVA,16 MAR 1969,URS,1,Bryansk (URS),15 JUL 1989,1158
70,70,20:50.6h,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Moskva (RUS),21 JAN 1997,1158
71,72,20:50.63,Ileana SALVADOR,16 JAN 1962,ITA,1,Pescara (ITA),13 SEP 1990,1158
72,73,20:51.0h,Ileana SALVADOR,16 JAN 1962,ITA,1,Mogliano Veneto (ITA),02 JUL 1989,1158
73,74,20:51.03,Jemima MONTAG,15 FEB 1998,AUS,1,"Lakeside Stadium, Melbourne (AUS)",27 FEB 2021,1158
74,75,20:51.2h,Ileana SALVADOR,16 JAN 1962,ITA,1,Piombino Dese (ITA),23 JUN 1993,1158
75,76,20:51.55,María PÉREZ,29 APR 1996,ESP,1,Murcia (ESP),07 MAY 2022,1157
76,77,20:51.89,Shanshan WANG,16 JUN 1987,CHN,3,Tianjin (CHN),16 SEP 2012,1157
77,78,20:51.96,Katarzyna RADTKE,31 AUG 1969,POL,1,Sopot (POL),20 JUN 1993,1157
78,79,20:51.99,Sari ESSAYAH,21 FEB 1967,FIN,1,Jyväskylä (FIN),04 JUL 1992,1157
79,80,20:52.24,Tamara SUROVTSEVA,12 JUN 1960,URS,2,Rostock (GER),23 JUN 1990,1156
80,81,20:52.76,María PÉREZ,29 APR 1996,ESP,1,Castellón (ESP),04 MAY 2019,1156
81,82,20:52.82,Kerry SAXBY,02 JUN 1961,AUS,1,Melbourne (AUS),01 APR 1990,1156
82,83,20:52.9h,Sari ESSAYAH,21 FEB 1967,FIN,1,Brunflo (SWE),28 JUN 1992,1155
83,84,20:53.31,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Adelaide (AUS),07 MAR 1992,1155
84,85,20:53.34,Vira ZOZULYA,31 AUG 1970,UKR,1,Uzhgorod (UKR),08 MAY 1998,1155
85,86,20:53.43,Erica ALFRIDI,22 FEB 1968,ITA,1,Vigevano (ITA),18 MAY 2002,1155
86,87,20:53.69,Ileana SALVADOR,16 JAN 1962,ITA,1,Udine (ITA),23 JUN 1992,1154
87,88,20:53.71,Elisabetta PERRONE,09 JUL 1968,ITA,2,Bologna (ITA),02 AUG 1993,1154
88,89,20:53.97,Beatriz PASCUAL,09 MAY 1982,ESP,1,Barcelona (ESP),01 JUN 2008,1154
89,90,20:54.04,Erica ALFRIDI,22 FEB 1968,ITA,1,Roma (ITA),10 JUL 1998,1154
90,91,20:54.2h,Bingjie JIN,03 JUN 1971,CHN,3,Zhengzhou (CHN),03 MAR 1991,1154
91,92,20:54.39,Elisabetta PERRONE,09 JUL 1968,ITA,1,Formia (ITA),04 JUN 1994,1154
92,93,20:54.42,Sari ESSAYAH,21 FEB 1967,FIN,1,Helsinki (FIN),26 AUG 1995,1154
93,94,20:54.65,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Tivoli (ITA),05 SEP 2002,1153
94,95,20:54.83,María José POVES,16 MAR 1978,ESP,1,Barcelona (ESP),16 JUN 2012,1153
95,96,20:54.90,Jemima MONTAG,15 FEB 1998,AUS,1,"Lakeside Stadium, Melbourne (AUS)",05 MAR 2023,1153
