"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,82.98,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion PGE Narodowy, Warszawa (POL)",28 AUG 2016,1303
1,2,82.87,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",29 JUL 2017,1302
2,3,82.29,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,1292
3,4,81.08,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",01 AUG 2015,1273
4,5,80.85,Anita WŁODARCZYK,08 AUG 1985,POL,1,"National Stadium, Beijing (CHN)",27 AUG 2015,1269
5,6,80.79,Anita WŁODARCZYK,08 AUG 1985,POL,1,Białystok (POL),23 JUL 2017,1268
6,7,80.31,DeAnna PRICE,08 JUN 1993,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1260
7,8,80.26,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",12 JUL 2016,1259
8,9,80.17,Brooke ANDERSEN,23 AUG 1995,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",20 MAY 2023,1258
9,10,79.8,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion PGE Narodowy, Warszawa (POL)",15 AUG 2017,1252
10,10,79.8,Brooke ANDERSEN,23 AUG 1995,USA,1,"UVA Lanningan Field, Charlottesville, VA (USA)",20 APR 2023,1252
11,12,79.73,Anita WŁODARCZYK,08 AUG 1985,POL,1,Doha (QAT),06 MAY 2017,1251
12,13,79.72,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2017,1251
13,14,79.61,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",18 JUN 2016,1249
14,15,79.59,Anita WŁODARCZYK,08 AUG 1985,POL,1,Lublin (POL),22 JUL 2018,1248
15,16,79.58,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Olympiastadion, Berlin (GER)",31 AUG 2014,1248
16,17,79.48,Anita WŁODARCZYK,08 AUG 1985,POL,1f1,Halle (GER),21 MAY 2016,1247
17,18,79.45,Anita WŁODARCZYK,08 AUG 1985,POL,1,Forbach (FRA),29 MAY 2016,1246
18,19,79.42,Betty HEIDLER,14 OCT 1983,GER,1f1,Halle (GER),21 MAY 2011,1246
19,20,79.02,Brooke ANDERSEN,23 AUG 1995,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",30 APR 2022,1239
20,21,78.96,Brooke ANDERSEN,23 AUG 1995,USA,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1238
21,22,78.94,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Olympiastadion, Berlin (GER)",12 AUG 2018,1238
22,23,78.79,Brooke ANDERSEN,23 AUG 1995,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1235
23,24,78.76,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Letzigrund, Zürich (SUI)",15 AUG 2014,1235
24,25,78.74,Anita WŁODARCZYK,08 AUG 1985,POL,1,London (GBR),14 JUL 2018,1235
25,26,78.69,Brooke ANDERSEN,23 AUG 1995,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 APR 2023,1234
26,27,78.62,Camryn ROGERS,07 JUN 1999,CAN,1,"Drake Stadium, Los Angeles, CA (USA)",26 MAY 2023,1233
27,28,78.6,DeAnna PRICE,08 JUN 1993,USA,1,"Audrey J. Walton Stadium, Warrensburg, MO (USA)",09 APR 2021,1232
28,29,78.54,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2016,1231
29,30,78.51,Tatyana LYSENKO,09 OCT 1983,RUS,1,Cheboksary (RUS),05 JUL 2012,1231
30,31,78.48,Anita WŁODARCZYK,08 AUG 1985,POL,1,"National Stadium, Tokyo (JPN)",03 AUG 2021,1230
31,32,78.46,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1230
32,33,78.3,Anita WŁODARCZYK,08 AUG 1985,POL,1,Bydgoszcz (POL),06 JUN 2010,1228
33,34,78.28,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1227
34,35,78.24,Anita WŁODARCZYK,08 AUG 1985,POL,1,Kraków (POL),21 JUL 2015,1227
35,35,78.24,DeAnna PRICE,08 JUN 1993,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019,1227
36,37,78.22,Anita WŁODARCZYK,08 AUG 1985,POL,1,Dubnica nad Váhom (SVK),21 AUG 2013,1226
37,38,78.18,Brooke ANDERSEN,23 AUG 1995,USA,1,"Cessna Stadium, Wichita, KS (USA)",10 APR 2021,1226
38,39,78.17,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",26 JUL 2014,1225
39,40,78.16,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion PGE Narodowy, Warszawa (POL)",13 SEP 2015,1225
